"","ACE2","TMPRSS2","Cancer","Sample.type"
"TCGA.02.0047.01A",1.58496250072116,4.99495980709108,"GBM","Tumor"
"TCGA.02.0055.01A",2.22709412047197,2.53682378987025,"GBM","Tumor"
"TCGA.02.2483.01A",2.09305304801573,4.18570007089445,"GBM","Tumor"
"TCGA.02.2485.01A",2.55018652621668,2.66295741957065,"GBM","Tumor"
"TCGA.02.2486.01A",3.18548600412808,2.73519720938416,"GBM","Tumor"
"TCGA.04.1357.01A",5.25842795801751,2.85802077197306,"OV","Tumor"
"TCGA.04.1362.01A",4.36520567446877,7.46153275258308,"OV","Tumor"
"TCGA.04.1364.01A",3.20469895242425,5.50045974793253,"OV","Tumor"
"TCGA.04.1365.01A",4.53070987587428,4.73391859727648,"OV","Tumor"
"TCGA.04.1514.01A",4.60365430139063,7.89169441639041,"OV","Tumor"
"TCGA.04.1519.01A",2.65153666987972,5.10861136060695,"OV","Tumor"
"TCGA.05.4244.01A",2.84575096697399,11.6747439890752,"LUAD","Tumor"
"TCGA.05.4249.01A",3.98898455441755,12.5278263969994,"LUAD","Tumor"
"TCGA.05.4250.01A",4.10923517489664,10.2344462336063,"LUAD","Tumor"
"TCGA.05.4382.01A",9.38891922606937,9.52728737107874,"LUAD","Tumor"
"TCGA.05.4384.01A",8.69389810184343,10.5314691893041,"LUAD","Tumor"
"TCGA.05.4389.01A",10.9275039128699,10.1041400582508,"LUAD","Tumor"
"TCGA.05.4390.01A",4.24540438863107,10.426411533068,"LUAD","Tumor"
"TCGA.05.4395.01A",4.27610951286147,6.9889005068945,"LUAD","Tumor"
"TCGA.05.4396.01A",9.22801055497391,11.0558585849079,"LUAD","Tumor"
"TCGA.05.4397.01A",8.16511803733249,8.03145033736953,"LUAD","Tumor"
"TCGA.05.4398.01A",8.16618317225441,9.46290506671446,"LUAD","Tumor"
"TCGA.05.4402.01A",9.30979919036635,10.8362081905203,"LUAD","Tumor"
"TCGA.05.4403.01A",6.10618497680938,11.4565289655143,"LUAD","Tumor"
"TCGA.05.4405.01A",6.14135921553004,12.269211437916,"LUAD","Tumor"
"TCGA.05.4410.01A",6.1964575424256,11.6328952588866,"LUAD","Tumor"
"TCGA.05.4415.01A",3.39993668138128,7.1732573821425,"LUAD","Tumor"
"TCGA.05.4417.01A",7.04419737480181,10.9154088580812,"LUAD","Tumor"
"TCGA.05.4418.01A",5.98846201744132,6.85803074237472,"LUAD","Tumor"
"TCGA.05.4420.01A",9.18556677842179,8.74033733200745,"LUAD","Tumor"
"TCGA.05.4422.01A",10.2378911057942,11.5373397526891,"LUAD","Tumor"
"TCGA.05.4424.01A",8.3388789739558,11.1625927380886,"LUAD","Tumor"
"TCGA.05.4425.01A",6.33599767738902,12.9014344933577,"LUAD","Tumor"
"TCGA.05.4426.01A",5.69785720349569,9.56651646391411,"LUAD","Tumor"
"TCGA.05.4427.01A",3.17863497608026,10.5262546938286,"LUAD","Tumor"
"TCGA.05.4430.01A",5.66808791437903,10.6780807105975,"LUAD","Tumor"
"TCGA.05.4432.01A",6.68771859990021,12.5657470997501,"LUAD","Tumor"
"TCGA.05.4433.01A",6.72081198859761,11.4830599778717,"LUAD","Tumor"
"TCGA.05.4434.01A",8.11032147877255,10.7232684370181,"LUAD","Tumor"
"TCGA.05.5420.01A",8.55201195492586,8.23810852649247,"LUAD","Tumor"
