"","Sample","Cancer","Sample.type","PID","Gene","Expr"
"1","TCGA-22-4593-01A","LUSC","Tumor","TCGA-22-4593","ACE2",2.35909943253201
"2","TCGA-22-4593-11A","LUSC","Normal","TCGA-22-4593","ACE2",5.50054395069018
"3","TCGA-22-4609-01A","LUSC","Tumor","TCGA-22-4609","ACE2",5.66712005980658
"4","TCGA-22-4609-11A","LUSC","Normal","TCGA-22-4609","ACE2",7.61277268294452
"5","TCGA-22-5471-01A","LUSC","Tumor","TCGA-22-5471","ACE2",8.45814819695243
"6","TCGA-22-5471-11A","LUSC","Normal","TCGA-22-5471","ACE2",5.86350736106313
"7","TCGA-22-5472-01A","LUSC","Tumor","TCGA-22-5472","ACE2",6.92099589501408
"8","TCGA-22-5472-11A","LUSC","Normal","TCGA-22-5472","ACE2",5.94088556923262
"9","TCGA-22-5478-01A","LUSC","Tumor","TCGA-22-5478","ACE2",4.88683787727587
"10","TCGA-22-5478-11A","LUSC","Normal","TCGA-22-5478","ACE2",6.03539517165306
"11","TCGA-22-5481-01A","LUSC","Tumor","TCGA-22-5481","ACE2",1.94339627376167
"12","TCGA-22-5481-11A","LUSC","Normal","TCGA-22-5481","ACE2",6.18583087383911
"13","TCGA-22-5482-01A","LUSC","Tumor","TCGA-22-5482","ACE2",6.83473649409183
"14","TCGA-22-5482-11A","LUSC","Normal","TCGA-22-5482","ACE2",5.5281712093096
"15","TCGA-22-5483-01A","LUSC","Tumor","TCGA-22-5483","ACE2",4.41009683533999
"16","TCGA-22-5483-11A","LUSC","Normal","TCGA-22-5483","ACE2",7.15244710467972
"17","TCGA-22-5489-01A","LUSC","Tumor","TCGA-22-5489","ACE2",4.72733781477942
"18","TCGA-22-5489-11A","LUSC","Normal","TCGA-22-5489","ACE2",6.36538284517318
"19","TCGA-22-5491-01A","LUSC","Tumor","TCGA-22-5491","ACE2",9.80942409132633
"20","TCGA-22-5491-11A","LUSC","Normal","TCGA-22-5491","ACE2",6.46807170163736
"21","TCGA-33-4587-01A","LUSC","Tumor","TCGA-33-4587","ACE2",3.77589336028377
"22","TCGA-33-4587-11A","LUSC","Normal","TCGA-33-4587","ACE2",5.61293335262181
"23","TCGA-33-6737-01A","LUSC","Tumor","TCGA-33-6737","ACE2",7.13023076231817
"24","TCGA-33-6737-11A","LUSC","Normal","TCGA-33-6737","ACE2",5.68790611973484
"25","TCGA-34-7107-01A","LUSC","Tumor","TCGA-34-7107","ACE2",5.1763905968639
"26","TCGA-34-7107-11A","LUSC","Normal","TCGA-34-7107","ACE2",6.29947363302151
"27","TCGA-34-8454-01A","LUSC","Tumor","TCGA-34-8454","ACE2",7.20061420551345
"28","TCGA-34-8454-11A","LUSC","Normal","TCGA-34-8454","ACE2",4.35958442047994
"29","TCGA-38-4625-01A","LUAD","Tumor","TCGA-38-4625","ACE2",4.25185540380782
"30","TCGA-38-4625-11A","LUAD","Normal","TCGA-38-4625","ACE2",5.70271571540523
"31","TCGA-38-4626-01A","LUAD","Tumor","TCGA-38-4626","ACE2",7.25089527168616
"32","TCGA-38-4626-11A","LUAD","Normal","TCGA-38-4626","ACE2",5.46699247821741
"33","TCGA-38-4627-01A","LUAD","Tumor","TCGA-38-4627","ACE2",5.24882701908661
"34","TCGA-38-4627-11A","LUAD","Normal","TCGA-38-4627","ACE2",4.48522071315591
"35","TCGA-38-4632-01A","LUAD","Tumor","TCGA-38-4632","ACE2",4.46707075721875
"36","TCGA-38-4632-11A","LUAD","Normal","TCGA-38-4632","ACE2",6.95901662316149
"37","TCGA-39-5040-01A","LUSC","Tumor","TCGA-39-5040","ACE2",10.2093802542305
"38","TCGA-39-5040-11A","LUSC","Normal","TCGA-39-5040","ACE2",4.79983333472506
"39","TCGA-43-5670-01A","LUSC","Tumor","TCGA-43-5670","ACE2",9.07710944944558
"40","TCGA-43-5670-11A","LUSC","Normal","TCGA-43-5670","ACE2",5.59275302101596
"41","TCGA-43-6143-01A","LUSC","Tumor","TCGA-43-6143","ACE2",3.09675099085177
"42","TCGA-43-6143-11A","LUSC","Normal","TCGA-43-6143","ACE2",5.60783627804617
"43","TCGA-43-6647-01A","LUSC","Tumor","TCGA-43-6647","ACE2",4.94052385554365
"44","TCGA-43-6647-11A","LUSC","Normal","TCGA-43-6647","ACE2",5.33600839255304
"45","TCGA-43-6771-01A","LUSC","Tumor","TCGA-43-6771","ACE2",5.56357000863898
"46","TCGA-43-6771-11A","LUSC","Normal","TCGA-43-6771","ACE2",5.49611077286775
"47","TCGA-43-6773-01A","LUSC","Tumor","TCGA-43-6773","ACE2",6.65900117782788
"48","TCGA-43-6773-11A","LUSC","Normal","TCGA-43-6773","ACE2",6.30592128762903
"49","TCGA-43-7657-01A","LUSC","Tumor","TCGA-43-7657","ACE2",5.41601887431028
"50","TCGA-43-7657-11A","LUSC","Normal","TCGA-43-7657","ACE2",6.14921667917739
