"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","ACE2","bmi.group","ACC","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"2","ACE2","bmi.group","ACC","Tumor",79,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"3","ACE2","bmi.group","BLCA","Normal",19,7,"level1","level2","level3","level4",NA,4,2,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"4","ACE2","bmi.group","BLCA","Tumor",408,358,"level1","level2","level3","level4",NA,149,124,54,31,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.08705690126604,-0.563516981535811,0.737630784067891,0.985817641944088
"5","ACE2","bmi.group","BLCA","Tumor",408,358,"level1","level2","level3","level4",NA,149,124,54,31,NA,0,0,0,0,NA,"bmi.group","level3-level1",-0.0645016182944875,-0.914615842124682,0.785612605535707,0.997334880323228
"6","ACE2","bmi.group","BLCA","Tumor",408,358,"level1","level2","level3","level4",NA,149,124,54,31,NA,0,0,0,0,NA,"bmi.group","level4-level1",0.423162312794535,-0.633366996338145,1.47969162192721,0.729680360873656
"7","ACE2","bmi.group","BLCA","Tumor",408,358,"level1","level2","level3","level4",NA,149,124,54,31,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.151558519560528,-1.02417127404532,0.721054234924265,0.969920599083339
"8","ACE2","bmi.group","BLCA","Tumor",408,358,"level1","level2","level3","level4",NA,149,124,54,31,NA,0,0,0,0,NA,"bmi.group","level4-level2",0.336105411528495,-0.738609902769902,1.41082072582689,0.851010328525213
"9","ACE2","bmi.group","BLCA","Tumor",408,358,"level1","level2","level3","level4",NA,149,124,54,31,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.487663931089022,-0.718346360476534,1.69367422265458,0.72379530133811
"10","ACE2","bmi.group","BRCA","Normal",113,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"11","ACE2","bmi.group","BRCA","Tumor",1084,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"12","ACE2","bmi.group","CESC","Normal",3,3,"level1","level2","level3","level4",NA,2,1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"13","ACE2","bmi.group","CESC","Tumor",304,259,"level1","level2","level3","level4",NA,100,73,44,42,NA,0,0,0,0,NA,"bmi.group","level2-level1",-0.0408698382006936,-0.743547547812267,0.66180787141088,0.998784634962935
"14","ACE2","bmi.group","CESC","Tumor",304,259,"level1","level2","level3","level4",NA,100,73,44,42,NA,0,0,0,0,NA,"bmi.group","level3-level1",-0.125416918991478,-0.95116859404268,0.700334756059724,0.979405223786701
"15","ACE2","bmi.group","CESC","Tumor",304,259,"level1","level2","level3","level4",NA,100,73,44,42,NA,0,0,0,0,NA,"bmi.group","level4-level1",-0.0899356178942297,-0.929229548544343,0.749358312755884,0.99255385093966
"16","ACE2","bmi.group","CESC","Tumor",304,259,"level1","level2","level3","level4",NA,100,73,44,42,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.0845470807907844,-0.955710675150473,0.786616513568905,0.994439215895977
"17","ACE2","bmi.group","CESC","Tumor",304,259,"level1","level2","level3","level4",NA,100,73,44,42,NA,0,0,0,0,NA,"bmi.group","level4-level2",-0.0490657796935361,-0.933076232863602,0.83494467347653,0.998943029369936
"18","ACE2","bmi.group","CESC","Tumor",304,259,"level1","level2","level3","level4",NA,100,73,44,42,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.0354813010972483,-0.949193440418367,1.02015604261286,0.999709476846528
"19","ACE2","bmi.group","CHOL","Normal",9,9,"level1","level2","level3","level4",NA,2,3,2,2,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"20","ACE2","bmi.group","CHOL","Tumor",36,35,"level1","level2","level3","level4",NA,10,16,5,4,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"21","ACE2","bmi.group","COAD","Normal",41,16,"level1","level2","level3","level4",NA,6,6,1,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"22","ACE2","bmi.group","COAD","Tumor",447,232,"level1","level2","level3","level4",NA,78,80,38,36,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.241696901282497,-0.763578270944057,1.24697207350905,0.924874285991718
"23","ACE2","bmi.group","COAD","Tumor",447,232,"level1","level2","level3","level4",NA,78,80,38,36,NA,0,0,0,0,NA,"bmi.group","level3-level1",0.22727875230804,-1.0225157301432,1.47707323475928,0.965436429986217
"24","ACE2","bmi.group","COAD","Tumor",447,232,"level1","level2","level3","level4",NA,78,80,38,36,NA,0,0,0,0,NA,"bmi.group","level4-level1",-0.221826755811225,-1.49475106988796,1.05109755826551,0.969378671286996
"25","ACE2","bmi.group","COAD","Tumor",447,232,"level1","level2","level3","level4",NA,78,80,38,36,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.0144181489744568,-1.25908441734015,1.23024811939124,0.999990293039278
"26","ACE2","bmi.group","COAD","Tumor",447,232,"level1","level2","level3","level4",NA,78,80,38,36,NA,0,0,0,0,NA,"bmi.group","level4-level2",-0.463523657093722,-1.73141331341621,0.804365999228763,0.779938281857915
"27","ACE2","bmi.group","COAD","Tumor",447,232,"level1","level2","level3","level4",NA,78,80,38,36,NA,0,0,0,0,NA,"bmi.group","level4-level3",-0.449105508119265,-1.91844286117335,1.02023184493482,0.858471194063346
"28","ACE2","bmi.group","DLBC","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"29","ACE2","bmi.group","DLBC","Tumor",48,48,"level1","level2","level3","level4",NA,25,15,3,5,NA,0,0,0,0,NA,"bmi.group","level2-level1",-0.186438060474814,-0.519431460789012,0.146555339839383,0.264134928060721
"30","ACE2","bmi.group","ESCA","Normal",9,9,"level1","level2","level3","level4",NA,1,1,4,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"31","ACE2","bmi.group","ESCA","Tumor",161,152,"level1","level2","level3","level4",NA,84,46,16,6,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.848141254717833,-0.0729866086954344,1.7692691181311,0.0779616701766981
"32","ACE2","bmi.group","ESCA","Tumor",161,152,"level1","level2","level3","level4",NA,84,46,16,6,NA,0,0,0,0,NA,"bmi.group","level3-level1",0.659736823178164,-0.71009473712246,2.02956838347879,0.490748057396784
"33","ACE2","bmi.group","ESCA","Tumor",161,152,"level1","level2","level3","level4",NA,84,46,16,6,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.188404431539668,-1.64595536485258,1.26914650177324,0.949669038178897
"34","ACE2","bmi.group","GBM","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"35","ACE2","bmi.group","GBM","Tumor",152,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"36","ACE2","bmi.group","HNSC","Normal",44,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"37","ACE2","bmi.group","HNSC","Tumor",500,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"38","ACE2","bmi.group","KICH","Normal",24,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"39","ACE2","bmi.group","KICH","Tumor",65,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"40","ACE2","bmi.group","KIRC","Normal",72,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"41","ACE2","bmi.group","KIRC","Tumor",530,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"42","ACE2","bmi.group","KIRP","Normal",32,25,"level1","level2","level3","level4",NA,6,9,5,5,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"43","ACE2","bmi.group","KIRP","Tumor",288,212,"level1","level2","level3","level4",NA,50,86,41,35,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.672645062377134,-0.461268351328594,1.80655847608286,0.417682353809408
"44","ACE2","bmi.group","KIRP","Tumor",288,212,"level1","level2","level3","level4",NA,50,86,41,35,NA,0,0,0,0,NA,"bmi.group","level3-level1",0.523256964135644,-0.820090723473528,1.86660465174482,0.744446932258254
"45","ACE2","bmi.group","KIRP","Tumor",288,212,"level1","level2","level3","level4",NA,50,86,41,35,NA,0,0,0,0,NA,"bmi.group","level4-level1",0.87493044378545,-0.53025973247205,2.28012062004295,0.373761737405245
"46","ACE2","bmi.group","KIRP","Tumor",288,212,"level1","level2","level3","level4",NA,50,86,41,35,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.14938809824149,-1.35944382940007,1.06066763291709,0.988664474798127
"47","ACE2","bmi.group","KIRP","Tumor",288,212,"level1","level2","level3","level4",NA,50,86,41,35,NA,0,0,0,0,NA,"bmi.group","level4-level2",0.202285381408316,-1.0760773582534,1.48064812107003,0.976713229398839
"48","ACE2","bmi.group","KIRP","Tumor",288,212,"level1","level2","level3","level4",NA,50,86,41,35,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.351673479649806,-1.1156488006208,1.81899575992042,0.925361049858961
"49","ACE2","bmi.group","LAML","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"50","ACE2","bmi.group","LAML","Tumor",145,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"51","ACE2","bmi.group","LGG","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"52","ACE2","bmi.group","LGG","Tumor",510,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"53","ACE2","bmi.group","LIHC","Normal",50,37,"level1","level2","level3","level4",NA,18,12,2,5,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"54","ACE2","bmi.group","LIHC","Tumor",371,335,"level1","level2","level3","level4",NA,177,90,37,31,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.357807142759834,-0.578265447518841,1.29387973303851,0.756963910717625
"55","ACE2","bmi.group","LIHC","Tumor",371,335,"level1","level2","level3","level4",NA,177,90,37,31,NA,0,0,0,0,NA,"bmi.group","level3-level1",0.695150683928516,-0.611866138206325,2.00216750606336,0.516996337463961
"56","ACE2","bmi.group","LIHC","Tumor",371,335,"level1","level2","level3","level4",NA,177,90,37,31,NA,0,0,0,0,NA,"bmi.group","level4-level1",0.984116510531215,-0.423634906546346,2.39186792760878,0.272734187206575
"57","ACE2","bmi.group","LIHC","Tumor",371,335,"level1","level2","level3","level4",NA,177,90,37,31,NA,0,0,0,0,NA,"bmi.group","level3-level2",0.337343541168682,-1.0746786741825,1.74936575651986,0.926654541894643
"58","ACE2","bmi.group","LIHC","Tumor",371,335,"level1","level2","level3","level4",NA,177,90,37,31,NA,0,0,0,0,NA,"bmi.group","level4-level2",0.62630936777138,-0.879438889934959,2.13205762547772,0.705626278139079
"59","ACE2","bmi.group","LIHC","Tumor",371,335,"level1","level2","level3","level4",NA,177,90,37,31,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.288965826602698,-1.47152810825141,2.04945976145681,0.974381136097244
"60","ACE2","bmi.group","LUAD","Normal",59,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"61","ACE2","bmi.group","LUAD","Tumor",512,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"62","ACE2","bmi.group","LUSC","Normal",49,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"63","ACE2","bmi.group","LUSC","Tumor",501,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"64","ACE2","bmi.group","MESO","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"65","ACE2","bmi.group","MESO","Tumor",86,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"66","ACE2","bmi.group","OV","Normal",0,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"67","ACE2","bmi.group","OV","Tumor",264,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"68","ACE2","bmi.group","PAAD","Normal",4,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"69","ACE2","bmi.group","PAAD","Tumor",177,0,"level1","level2","level3","level4",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
