"","Gene","Clinical.feature","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","ACE2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","ASIAN-AA",-0.220075984898157,-1.21139706590329,0.77124509610698,0.860811701329509
"2","ACE2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","WHITE-AA",-0.421727987431519,-0.981299937662219,0.13784396279918,0.180345737899108
"3","ACE2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","WHITE-ASIAN",-0.201652002533362,-1.0488645755793,0.645560570512581,0.84175760588517
"4","ACE2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,0,0,0,NA,NA,"race","ASIAN-AA",-0.186894178268112,-0.416251867656545,0.0424635111203207,0.135837381434809
"5","ACE2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,0,0,0,NA,NA,"race","WHITE-AA",-0.11259018913916,-0.269928269683115,0.044747891404794,0.213923131568208
"6","ACE2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,0,0,0,NA,NA,"race","WHITE-ASIAN",0.0743039891289516,-0.107554584110079,0.256162562367983,0.603665771223145
"7","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","II-I",-0.116509422418339,-0.286201473947106,0.0531826291104276,0.331857896000304
"8","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","III-I",-0.153816637218274,-0.334551000863088,0.0269177264265409,0.137925634457181
"9","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","IV-I",-0.24283523538658,-0.470132014252419,-0.0155384565207411,0.0293593053093345
"10","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","Normal-I",0.470449648821055,0.231899803249584,0.708999494392526,7.61331071852389e-07
