"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"aDC",0.154385964912281,0.110623361414905,0.34581881533101,-0.012968706077539,0.476936647122952,0.256326553893182,0.105118371134288,0.00436974789915966,0.337755698421976,0.128061224489796,-0.00572258337117303,0.281423804226919,0.111340144068972,-0.215132693393563
"Adipocytes",-0.512280701754386,-0.0918141592920354,-0.227003484320558,-0.394849480762276,0.58,0.618303427873175,0.229105571847507,0.356158463385354,-0.0349503214494448,0.0156122448979592,-0.0831071654118061,0.0171301446051168,-0.143389879959632,-0.328063241106719
"Astrocytes",-0.635087719298246,0.176342404684277,-0.152264808362369,-0.534661435060378,-0.00695652173913043,-0.280477216596769,-0.480249291724643,0.0834460965966958,-0.184405868571462,-0.210816326530612,0.025527736873758,-0.451835372636263,-0.138420936547588,-0.79785431959345
"B-cells",-0.0761091749810148,-0.0315870086411393,0.229965156794425,0.38139923527088,-0.106973260027072,-0.144043737564342,-0.405933123164082,-0.037935418358193,0.400176733573653,0.0725304886224506,0.029952411807042,0.401429944132523,0.205232546518782,0.423150923235845
"Basophils",0.319906254958734,-0.145315193366459,0.488999016623966,0.289672206927232,-0.309002339704417,-0.124160302945102,-0.272785024319843,-0.348763505402161,-0.136536326143561,0.0335722850181951,0.144865403991907,0.143508733783787,0.105909132855517,0.545302298830814
"CD4+ memory T-cells",0.359649122807018,0.0818476330861176,-0.115156794425087,0.366397688659059,0.0739130434782609,-0.172454820245675,-0.262120796628335,0.0634333733493397,0.208591466978375,-0.0316326530612245,0.154785281311363,0.258847121126732,0.0736719062413486,0.157538114059853
"CD4+ naive T-cells",0.0581503439871346,-0.026358542032849,-0.063135337041366,-0.0801487949379868,-0.207689180174376,0.00849083736615723,-0.188963515542308,0.0422577606590477,0.227832427821736,-0.245565737713817,-0.159527232723689,-0.105441963983216,0.108554321706339,0.292901167113127
"CD4+ T-cells",-0.524530079088555,0.0581579832566503,-0.380876758851153,-0.00485006413976664,-0.0419793479721011,-0.256990440062705,0.311120163965207,-0.162478971094189,0.102284985491343,-0.137427161398726,-0.0471754137115154,-0.318202918750086,-0.0445955914311045,-0.628294131644282
"CD4+ Tcm",0.363518567597109,-0.0113337506986785,0.00496795772414547,0.121126195912765,-0.0959760089962516,0.0589639522852252,-0.0359877801601546,0.114007008142228,-0.0314674749653816,0.00723138418056092,0.549093599161909,-0.120983350233753,-0.324248669599188,0.679784166373878
"CD4+ Tem",0.249567294705188,-0.157701951135693,0.301786521023399,0.129925405754878,0.292344642585866,0.242899989073624,0.186214647486858,-0.14347513398084,0.179506818665301,0.136215140414962,0.115450449054555,0.550939858519521,0.197953596742252,0.242628852727554
"CD8+ naive T-cells",0.322948692783309,-0.022804192862407,-0.0102944503835432,0.0431289640591966,0.0985704502815263,-0.0340614961158694,-0.186691076847685,-0.202785114045618,-0.00419999820002496,-0.0735487819204703,-0.131608717026414,-0.385277324872855,-0.0260543234181304,0.54488989271598
"CD8+ T-cells",0.171929824561404,0.00718053601930969,-0.0830207463109625,0.127186344034602,-0.246886972636316,-0.00611989565788673,0.222117346628682,0.105435386381724,0.396270360493631,-0.0665305081228462,0.169421464005105,0.186622537462965,0.166753822018518,-0.0302267691068718
"CD8+ Tcm",0.396491228070175,0.132379556293789,0.168822684074943,0.230150694882662,-0.161848126506029,0.0209336186595205,0.231249856007768,0.0692453600526134,0.27221321179428,-0.0529591836734694,0.0970169085126943,0.391052787463171,0.182072656802732,0.130582333314932
"CD8+ Tem",0.259074948794799,-0.0624408808553143,0.148793316277759,0.202033906903462,0.161848126506029,0.230780121674759,0.110486639393593,0.178130258088863,0.172405454185331,-0.0317122097687364,-0.210538859703356,-0.416778819088431,0.268958116550675,-0.104526790339547
"cDC",0.2,0.132028079047176,-0.193728222996516,0.0326990838618746,0.565217391304348,0.344652389221172,0.12133431085044,-0.146506602641056,0.158094681472823,-0.218367346938775,0.177921967045163,-0.0451612903225806,0.0616137069734535,-0.490683229813665
"Chondrocytes",-0.533333333333333,-0.0302082640228891,-0.218651137065443,-0.374241657880898,-0.24107929060777,-0.582197410746456,-0.37410197056476,0.261742488666049,-0.161077748084817,-0.125408163265306,-0.173476798283,-0.367296996662959,0.0988664503246891,-0.745906267645398
"Class-switched memory B-cells",0.13304093851602,0.0870515184169005,0.182404181184669,0.438639467689838,-0.0844670146516198,0.0120018615617401,0.103349212688697,0.0629408662535245,0.158773872889518,0.0138257318914092,-0.140162822501161,0.379456749366351,0.157397520540837,0.360212808634712
"Common lymphoid progenitor",0.0824561403508772,0.04239304012243,-0.393728222996516,-0.176603241719521,-0.315652173913043,-0.56067914335327,-0.730088904175287,-0.178120348514049,0.00175336060783168,0.015459578055491,-0.123623324511227,-0.293437152391546,-0.216217047586822,-0.0841332580463015
"Common myeloid progenitor",-0.497165099801929,-0.112332808642734,-0.0392359622563735,-0.186297969100563,0.0457198097474659,0.137418293041152,0.116778858810746,0.0945234273697517,-0.212960762310625,0.0103644544542815,-0.119509741631177,-0.0772758554437579,0.163564415676196,-0.192764396798234
"DC",0.0228070175438597,0.110869217157937,0.0398954703832753,-0.000281888653981677,0.438567107284506,0.293634496021012,0.229672553073092,0.0350060024009604,0.17843366452367,-0.0986734693877551,0.171689575685136,0.126585094549499,0.0939797583837981,-0.0609997200263617
"Endothelial cells",-0.394736842105263,-0.0222070663384124,-0.14616724738676,-0.573784355179704,-0.409565217391304,-0.40459193517268,-0.491568914956012,-0.192797118847539,-0.196025715955582,-0.138367346938776,0.128022881077592,-0.426473859844271,0.331569719154696,-0.654432523997741
"Eosinophils",0.212397697621437,0.0131669415898847,0.404275280316434,0.435359420173028,-0.141947954143248,0.327935735374289,-0.0613811679279227,-0.226007271330153,0.0331433585301327,-0.117325852250281,0.405412904832909,0.599376867750893,-0.0809863515137751,-0.386010339372779
"Epithelial cells",0.726315789473684,0.00405881961541021,0.46794425087108,0.643410852713178,-0.5,-0.792430381375008,-0.888929618768328,0.55265306122449,0.193980128579778,0.247755102040816,0.41944847605225,0.27741935483871,0.024393244947553,0.382269904009034
"Erythrocytes",-0.0796754550514261,-0.0229135867282621,-0.0824077704514427,0.0653458032198484,-0.312389110760505,-0.404701025230747,-0.387266739118379,0.0113412431980974,0.135465573389297,0.107409253627322,-0.116752124605991,0.379433947513836,0.0889180950155497,0.101992807543437
"Fibroblasts",-0.759649122807018,0.00218743762060017,-0.383101045296167,-0.267012829033638,-0.232173913043478,-0.494887131005209,-0.563834664635496,-0.149195678271309,-0.152367036820573,-0.0344897959183673,-0.213011184154358,-0.536878410263998,-0.0882524839275278,-0.588932806324111
"Granulocyte-macrophage progenitor",-0.403685865979136,0.062806565611437,-0.00714410186834239,-0.11663038902377,0.498152648334149,0.531881407698102,0.615246358878783,0.0245401720384683,0.217302365796103,0.00608448074393739,0.0294582759313687,-0.111692068774358,0.18489823931219,-0.528112984772892
"Hepatocytes",-0.554003994629247,0.0581537114771391,0.301437937112312,0.199910693695012,0.901739130434782,0.912856132227153,0.956011730205279,0.137478991596639,-0.0800352522633923,0.155526074899052,-0.010007149617862,0.697492764597849,0.252833822442759,-0.00172139252178224
"Hematopoietic stem cells",-0.703508771929825,0.0217329828997272,-0.465679442508711,-0.512473572938689,0.373043478260869,0.447874461380153,0.367302052785924,-0.249939975990396,-0.193571011104617,-0.178877551020408,-0.081447963800905,-0.490989988876529,-0.143560244855271,-0.482778091473744
"iDC",-0.249122807017544,0.0694740169006587,-0.141811846689896,0.0295983086680761,0.489565217391304,0.496012605312239,0.446847507331378,-0.148619447779112,-0.0059614260666277,-0.205918367346939,0.225305216426193,0.0367074527252503,0.146882401796426,-0.340485601355167
"Keratinocytes",0.82141297947059,-0.0104672850557587,0.183623693379791,0.438195912614517,-0.429565217391304,-0.746028683516625,-0.87316715542522,0.587803121248499,0.0141437755698422,0.163061224489796,0.242721762144626,0.290577374142056,0.024085637823372,0.328434353489072
"Lymphatic endothelial cells",-0.268421052631579,-0.0478741100538958,-0.0888114448342964,-0.538778674706387,-0.503478260869565,-0.493890282333269,-0.590909090909091,-0.151788715486194,-0.217007597895967,-0.101632653061224,0.0222829334927004,-0.473637374860957,0.273616536958996,-0.592320722755505
"Macrophages",-0.114035087719298,0.0395633397153892,-0.0550522648083624,-0.202678898738329,0.0539130434782609,0.0733815147421836,0.123900293255132,-0.152557022809124,0.271946230274693,0.0305102040816327,-0.00742780303684597,0.363349633226671,0.170752714632871,0.0397276386144028
"Macrophages M1",-0.156140350877193,0.0587410880101792,0.0668989547038328,-0.268217054263566,-0.112854298333576,-0.184744032511111,-0.170653469692993,-0.0683313325330132,0.233255406195208,0.0910204081632653,0.154102279518484,0.469240185348848,0.174423406486469,-0.210853724357012
"Macrophages M2",-0.56140350877193,0.0327782952957615,0.0803836399658467,-0.378730751847237,0.82,0.842015563701846,0.785923753665689,-0.32062424969988,0.214202220923437,0.0391836734693878,0.348893300115759,0.672154860094296,0.266726137377342,0.17673630717109
"Mast cells",-0.398245614035088,0.0636063269478863,0.19616724738676,0.297434454604427,-0.550728125730893,-0.474877810043971,-0.426590422175367,-0.235779158585395,0.178725891291642,0.00571428571428571,0.328616251595634,0.00912124582869855,0.0229782521763204,0.0118577075098814
"Megakaryocytes",-0.473684210526316,0.0753293632310866,-0.0470465244988401,-0.300785792497954,-0.483478260869565,-0.467586339957554,-0.6158357771261,-0.0174309723889556,-0.0684395090590298,-0.257040816326531,-0.0844360966447537,-0.431813125695217,0.105847611430681,-0.699237531413294
"Melanocytes",-0.0894736842105263,-0.118384389632183,-0.205431907183336,-0.00916267277217429,-0.44,-0.31188500868223,0.137096774193548,0.201824729891957,0.069666861484512,0.243163265306122,0.315888329206864,-0.401557285873192,0.0443261865944815,-0.237718802936194
"Memory B-cells",0.00273424149537379,-0.0192942646205993,0.200522648083624,0.00827528565569196,0.0404960331236558,-0.020848574446062,-0.24301425742556,0.0798148346357721,0.185442340350511,0.0373083162794491,-0.093711130900462,0.417400093524248,0.102024910548094,-0.196706257492816
"Megakaryocyte-erythroid progenitor",-0.228070175438597,-0.066363364162619,-0.305226480836237,-0.586751233262861,0.575652173913043,0.720689433404078,0.566715542521994,0.179351740696279,-0.0320280537697253,0.0963265306122449,0.0373943481601639,0.435372636262514,-0.0766864560583223,-0.122529644268775
"Mesangial cells",-0.0228070175438597,0.0203024153303613,0.211149825783972,-0.288694674421738,-0.0426086956521739,-0.504308958775484,-0.486803519061584,0.119844233494525,-0.0616014026884863,0.000306122448979592,0.305814052761888,0.234260289210234,-0.000439739156911992,-0.505364201016375
"Monocytes",0.293111041819634,-0.0597564056294546,-0.209934660452027,0.0162286241199649,0.189609311008864,0.137807285337021,0.158203794808082,-0.264729891956783,0.0815897136177674,-0.098265306122449,0.241849808594689,0.267562065958445,0.00177152962199686,-0.220474584582371
"Multipotent progenitors",-0.629824561403509,-0.0352858243824144,0.102798507486647,-0.0449735698558312,-0.328981847832985,-0.393126256956013,-0.344972964513655,-0.226735826641059,-0.0941746075273203,-0.105081201595883,-0.00487889993352374,0.0493844519080552,0.263828278985656,-0.457316613286816
"Mesenchymal stem cells",-0.394736842105263,-0.0936596380297584,-0.474390243902439,0.348915418579245,0.339130434782609,0.48596147671071,0.30791788856305,-0.226698679471789,0.0092343658679135,0.160816326530612,-0.342440023905063,-0.258286985539488,-0.0594604571041865,0.386787125917561
"Microvascular endothelial cells",-0.373684210526316,-0.0765769512276266,-0.224216027874564,-0.535306553911205,-0.355652173913043,-0.303106309087401,-0.437683284457478,-0.251572629051621,-0.179953243717125,-0.133775510204082,0.120464441219158,-0.483426028921023,0.291334707311821,-0.584415584415584
"Myocytes",-0.58523816216069,-0.0606891142493624,-0.332740289812605,-0.424517140977351,0.336521739130435,0.320631551868287,0.25549853372434,0.187899159663866,-0.171069549970777,-0.121020408163265,-0.434474515495603,-0.48279502984085,0.0179645323552018,-0.680406549971767
"naive B-cells",0.192890493145881,0.00729587638057067,0.326840274093283,-0.181715412601396,0.0606587386347854,0.0782177880092501,0.0623014258686547,-0.147653123473366,0.166040068912033,-0.238078105631885,-0.156867319764984,0.0531426291693798,0.0132461059670069,-0.499856706745396
"Neurons",-0.63859649122807,-0.0209927473551135,-0.220557491289199,-0.524594785059901,-0.379130434782609,-0.536175959868802,-0.49633431085044,-0.0490276110444178,-0.4416715371128,-0.274387755102041,-0.312387945018356,-0.362402669632925,-0.171183364606724,-0.561829474872953
"Neutrophils",0.113345290097725,0.0719643781289816,0.407665505226481,0.0290447674018057,-0.359057401803928,0.142472363213429,-0.0489281545551076,-0.0964457280453649,0.0032729398012858,0.0598979591836735,0.0575120567676252,-0.0247050992648901,-0.0671981544818754,-0.294696065542659
"NK cells",-0.134689459729792,-0.107577338705936,0.013988559103479,-0.0535212952718228,-0.049515146519915,0.14543267925601,0.0184144398989322,0.0582309117994997,-0.201007336786488,0.0646638007239217,-0.0981922628922577,-0.211900616247292,-0.0489620270915616,-0.109102768732091
"NKT",-0.573684210526316,-0.0644587131545678,0.140592334494774,-0.425792811839323,0.123582053456753,-0.0860843558396784,-0.455994939245604,-0.0911011866085604,0.0937463471654004,-0.0262244897959184,0.118244685392299,0.0509454949944383,0.157833215417269,0.0852625635234331
"Osteoblast",-0.311249764871529,0.034813990581299,0.307142857142857,-0.334751779457255,-0.144347826086957,-0.0392629751109396,0.435850439882698,-0.126904377532512,0.0443231433937867,0.1165786783048,-0.0987763249699367,0.220817807185716,0.106495224338542,0.412693081725736
"pDC",0.115144421686577,0.0292360381911037,0.282752613240418,-0.00423131275881555,0.352805158488934,0.606943362070751,0.610526699814403,-0.0254021608643457,0.189246054938632,-0.0452040816326531,-0.231971804487077,0.698854159402908,0.0444241294962918,0.000584813221703903
"Pericytes",-0.421829946106834,-0.0903108061907418,-0.0362496367098642,-0.23067324646781,-0.184281233024843,-0.362427472202892,-0.038137149612215,-0.0244417767106843,-0.118927606424422,-0.153470763671925,-0.0270720175784237,-0.389189844198499,0.0580473128968341,-0.642736419822849
"Plasma cells",0.0166739814208774,-0.11218310029167,0.154529616724739,0.0187455954897815,-0.0933169458936416,0.422051765365652,0.448053124129187,0.282785114045618,0.174271308086618,0.00467362548403638,-0.10018996395102,0.538530400723811,0.204651019717617,0.32398224099521
"Platelets",0.112263087052049,0.0672086104518311,0.152401858914907,0.173711571444384,0.0334532907663424,-0.179079833568949,0.0732328483929023,-0.218706391717173,-0.0527428156685084,-0.199298167347322,0.0654567171302386,-0.46104210844114,0.159767980947579,0.426758339596801
"Preadipocytes",-0.57181171587349,0.0620539357715607,-0.214183044274712,-0.437139627356182,0.362655221013691,0.304970150143112,0.398536980060149,0.107322929171669,0.00978973976930583,-0.18287580460571,0.082353994184404,0.0187082521343259,0.190863029648419,-0.213499020092266
"pro B-cells",0.250638803742598,0.0641243755060438,0.118216128327308,0.12227915478217,0.237419285493976,0.470433708809936,0.384308724068044,-0.151095513435238,0.045603007390204,-0.217345351459089,-0.0547722228740422,0.187390317514127,-0.0692161930880203,0.352407425233567
"Sebocytes",0.776656503025077,0.0413533834586466,-0.0930313588850174,0.0372093023255814,-0.388695652173913,-0.600971123544923,-0.699046920821114,0.53344537815126,0.328930450029223,0.347142857142857,0.23196448390677,0.0592427984253654,0.00913593158817558,0.459192336865112
"Skeletal muscle",-0.704695109524449,-0.156758413354324,0.0535881774943238,-0.422029924982281,-0.15072441575989,-0.0166105001646926,-0.0460254567782451,-0.186609487494034,-0.162356574135586,-0.17663715916868,-0.185110607433439,-0.623055893250943,0.0977531440489052,-0.399209486166008
"Smooth muscle",-0.450877192982456,0.00389247454920487,-0.422473867595819,-0.0407329105003524,0.0817391304347826,0.111968615345038,0.25549853372434,0.0347178871548619,-0.0893045002922268,-0.0348979591836735,-0.0201485528899513,-0.649388209121246,-0.0402657725552924,-0.116883116883117
"Tgd cells",0.0735555835398898,0.0240781958790512,-0.171440134796244,-0.186064038050541,0.105826489620995,0.345839768137766,0.212540320732059,0.0315426821826011,-0.0988521525778633,-0.0574774878441492,0.233538872719617,-0.431839090278134,-0.0449148013526113,-0.433904787047156
"Th1 cells",0.319298245614035,-0.0566238605362965,0.0773519163763066,0.080338266384778,-0.437391304347826,-0.309955624155894,-0.453445747800587,-0.250132052821128,0.0880771478667446,0.0342857142857143,-0.399129172714078,0.138598442714127,0.105232397182319,0.585544889892716
"Th2 cells",-0.449122807017544,0.0244382776088778,-0.257142857142857,0.348660171326401,0.305343403539476,0.163404940920567,0.398412734157928,0.208435534040744,0.131329220991006,-0.00344358377964466,-0.149240824387596,0.177308120133482,0.248248435840727,-0.569780924709923
"Tregs",-0.0400939596614459,-0.0179470632128982,-0.0305051587613065,0.326452172081999,-0.15523712281857,-0.0547385852412802,0.186904277605964,0.192276038714903,0.295866006976077,0.183686866070929,0.107751398617467,-0.100947789033538,-0.176934273432108,-0.247270248447082
