"","BRCA","DLBC","PRAD","UCS","SKCMprimary","KICH","HNSC","CESC","BLCA","UCEC","LUSC","OV","CHOL","THYM","PAAD","PCPG","LAML","SARC","LUAD","LIHC","THCA","ESCA","STAD","KIRP","KIRC","MESO","LGG","SKCMmets","GBM","UVM","READ","COAD","ACC","TGCT"
"B-cells",0.142888104567728,-0.0316408981664423,-0.005087081480361,-0.0032304384806983,-0.284434876434085,0.141392950020761,0.183485021735726,0.24034714505567,0.0829186242541208,0.0783300624125562,-0.0326993746457726,0.0385050450846362,0.0178574065849673,0.162783079333428,-0.0225842862741016,-0.101245851907864,-0.145370219238777,-0.0614248637408113,-0.0712535408430617,-0.195459959894941,0.178936714379556,0.204032646171584,0.131842229307346,0.180393858980977,-0.0897910153988842,0.0323080593585762,-0.0562850487415538,-0.061122869774934,-0.0507985583324744,-0.233999238336875,-0.197762468022174,-0.128997615783477,0.178726008368558,-0.382634629802173
"CD4+ memory T-cells",0.179473315164403,0.0759381555994616,0.0582961394871573,0.0688335213096825,-0.0638618914584319,0.0923524077022755,0.147881199524798,0.15866058995891,0.171738231924332,0.03315478051833,-0.0172066703246893,0.0436388490825044,-0.076962676962677,-0.0857712576556046,0.15668613648249,-0.0261583965404403,0.179460174864348,-0.245630254771462,-0.147229479736615,-0.0505679231496793,0.213775460101388,0.106067402806533,0.0361803137625125,0.0786564662159987,0.0759857918173016,-0.131558513746358,-0.070470494981981,0.00701574630812533,0.0147787775970838,0.144869481828934,-0.000841891569142584,-0.0266973386534094,-0.0296981499513145,-0.409932916064687
"CD4+ naive T-cells",0.143416166876738,0.114544710805344,0.0332784679543927,0.163765528548358,-0.0725894984019886,0.0941440258289165,0.0207395342679722,0.0632712626040525,-0.0574311118027606,0.0612007806753538,-0.00400674379584691,-0.0284323053958967,0.0423129211251444,-0.0902221905711437,0.0276390023940343,-0.183810690704558,0.290966301428115,0.0505382612957859,0.067659995308619,0.0480665042304282,0.0881311027530918,0.115609573059383,-0.0229371958498436,-0.0444870074828209,-0.216245038484168,0.0735494686505691,0.0285267295443301,-0.0187615354345729,0.0900566056074844,-0.13026670895196,-0.0351108637294373,-0.00617746635817722,-0.0741107626139992,-0.284056066797566
"CD4+ T-cells",0.0335812362856234,-0.0600237649769523,0.0484772201321032,-0.0267571160049521,0.0826365996668215,0.190204674654603,-0.0475376128569345,0.0599707107495955,-0.140435665918189,-0.0758478420740879,0.0359393041087671,-0.125393157024098,-0.317444856408168,-0.158974986498715,-0.109921684484938,0.0174704560858681,0.0296963352852036,-0.0249443313646952,-0.0866251619676691,0.00510246010283311,-0.0293136782237021,0.0584305778938359,0.0269225284334688,0.0643181342065588,0.00277679731718562,-0.110244751045525,0.0104970406469513,-0.0626254487756308,0.0898383310843427,0.00634564417927116,-0.0894321867488937,-0.0548582532105687,-0.0320809351460766,-0.0328568912420102
"CD4+ Tcm",0.0133532401757567,-0.166861512636646,-0.125518631686176,-0.0451302797686802,-0.0711659556929122,-0.321973119369619,0.0426446476477196,-0.117595413828374,-0.0748154372393404,-0.0680928577748443,-0.0528998335638671,0.0228054805392841,-0.0690033865089435,-0.0101218888958652,-0.103697472261228,-0.0854563409712278,0.0116769641690502,-0.0127879915283209,0.103525031033434,-0.0275600638665345,-0.155267094091613,-0.01513124216313,-0.0813659425560851,-0.175666965484504,-0.100635270504141,-0.0610713248752307,0.0376218865431869,0.0943667326460789,-0.0483695794945291,-0.0800229221696999,0.106534988173115,0.0869597150698987,-0.114253293422708,0.0966632619507682
"CD4+ Tem",0.03834988808839,-0.00788359987105599,0.068776372039364,-0.16201083083043,0.176064425771449,0.169805396024694,0.0347520495180842,0.00614974136273593,0.0266781011332261,0.0378763586604481,0.00515181961850399,0.0823725472307084,0.181326502498026,-0.13689493122518,0.235059134006028,0.0327153130980181,-0.0073793309174519,-0.016087201423114,0.14111894643883,-0.0461512148772802,0.193053845595708,0.170972067197077,0.193125823194878,0.254161076905914,0.126095498422316,0.145601512644765,-0.025743476196678,0.0748246563391658,0.0597762503431974,-0.097332642714571,-0.253920316301194,-0.13586254946944,-0.0398771968804166,-0.273092762671725
"CD8+ naive T-cells",0.0430636622561608,-0.0608655822910836,-0.14281449661232,-0.102498376567894,-0.0762796160604256,-0.410238489536717,0.0434337782195019,-0.123757730613518,-0.118684018341958,-0.239410393674737,-0.17404527447131,-0.206682182789237,-0.147012548176333,0.0861202107961829,-0.109968990394263,-0.0548655728713844,0.0135921623249509,-0.195766364774826,-0.258798699591574,0.0920398045056923,0.119080730105132,0.00814415105024297,-0.0390843085453643,-0.15803819688293,-0.0347034590842716,0.0266181885436613,0.165746170507882,0.0336083513112235,-0.163284597933853,-0.0485365420758045,0.132721539594894,0.0910241996231993,-0.105270845126372,-0.29554140446935
"CD8+ T-cells",0.192874073308425,0.143707206581405,0.0473989996518806,0.319973102108145,0.0489696300634831,-0.119410467760585,0.162793818979124,0.129540898168832,0.00688301956400417,0.0801724799577498,-0.0884218156835744,-0.0308354950819405,0.141364825697423,-0.117098703888335,0.12066907325254,-0.0576167926211051,0.207013261988709,-0.0777156188291206,-0.050317938460708,-0.117789847276637,0.210547235436526,0.0740465286680989,0.00271696111515944,-0.00671591098066659,0.0467931767395892,-0.0257645811512634,-0.0410040973207659,-0.038950534621553,0.0308055805791145,-0.0740989133261362,-0.144946471631336,-0.0885152017764279,-0.0722656157731724,-0.326996713008271
"CD8+ Tcm",0.196898146521091,0.0975690241641568,0.146107774325676,0.114070962840218,-0.00258261836025252,0.0400879999293153,0.223316065756903,0.211062512030655,0.213738568617011,0.125704972590666,0.0444811598587287,0.136566783405926,0.021441628216948,-0.0750391682096568,0.203526854865959,0.00571613802020187,0.22947227764231,-0.113722324991812,-0.0746391220487219,-0.000409672042552881,0.258751254179202,0.191295107856093,0.103150949488626,0.0576767113799238,0.0755082015359495,0.0433165582553154,-0.0598679661471587,-0.0652637683914271,-0.0680907296538732,-0.156563702644706,0.0167603223673787,-0.135063467283937,-0.0733675029552205,-0.31170846095298
"CD8+ Tem",0.0992380677370611,0.191916429605912,0.0327925578234394,0.0771063657547014,0.0423059652302068,0.190605684039822,0.0862512252502345,0.136965083346297,0.114017535937448,-0.00163694976352994,-0.00212743640625204,-0.0329378675074263,-0.00143097671378212,-0.317105402292176,0.0331768280558423,-0.153517223054467,0.068933371306667,0.00927410393236591,-0.0780834908123548,-0.0367237337520914,0.105630443709114,0.0925995245118402,-0.0223501311980215,-0.0513819186659437,-0.0199338059610791,-0.118913302792766,-0.0113412581553874,-0.10007022440581,0.074717441616904,-0.280709725014252,-0.0589256692983866,-0.185043739401338,0.044829245799918,-0.208682819992658
