"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"aDC",-0.213369361537454,0.11749093670817,0.275281052397137,0.275810649881486,0.0532818532818533,-0.20610715968915,-0.0235868513604388,-0.00886393535748231,-0.0810334175905644,0.0920504702939967,0.205356851139087,0.0470380462555854,-0.0808391911911451,0.00707437450757458,-0.00653326867572872,-0.154953369839867,0.0149558763738272,-0.0985277917903035,0.134920669589409,0.137374678774449,0.146733667256368,0.14329401055146,0.299292391983275,-0.100261104303138,-0.0787859802601846,-0.095689244308137,-0.0690516061080677,0.0416107509560889,-0.188361305782867,0.135878899965403,0.0293690357498932,0.0950597570468216,0.144397546117223,-0.105395905303099
"Adipocytes",-0.136916442892368,-0.0373194230712594,0.140371270466962,-0.0231332098672481,0.00875160875160875,-0.0358037126329701,0.112356580619092,-0.0110425901796189,0.00508327407974621,-0.187043406781233,0.0389280629603002,-0.0744726224146293,0.0485414901331135,0.0959401164929362,0.00697485835393944,0.245823842679549,0.145917479130982,-0.00518678120656779,0.306409254979431,-0.135104907016984,0.287767760274397,0.16406764846226,0.119587647699988,-0.0387249963703771,0.260655947654892,0.00227252338855234,0.0184219468153495,0.0813267613488686,0.315208159635461,-0.311471825124354,-0.246349179731933,0.0483293767347285,0.14266911297986,0.110712499649766
"Astrocytes",-0.254426328576681,-0.0856135253395536,0.28893625006128,-0.154804022346808,-0.15902423062058,-0.106650117415281,0.410296611587914,-0.366239026307182,-0.0534720071788932,-0.287697503844561,-0.088966643297179,-0.424681155668101,-0.286878259272856,0.0325598609668685,0.0568288673513479,-0.105938746447383,-0.137242752835428,-0.163986462384982,-0.301279852806066,-0.229250537936489,-0.116167136054805,-0.0559560585280948,0.290745116789223,-0.128619976061943,0.0352502946516719,0.0394901769288703,0.245560070227329,-0.0894925189039532,0.555849273092415,-0.195720509088771,-0.453850926960268,-0.160084804637732,0.065072882321229,0.0806005311328956
"B-cells",0.178726008368558,0.0829186242541208,0.142888104567728,0.24034714505567,0.0178574065849673,-0.128997615783477,-0.0316408981664423,0.204032646171584,-0.0507985583324744,0.183485021735726,0.141392950020761,-0.0897910153988842,0.180393858980977,-0.145370219238777,-0.0562850487415538,-0.195459959894941,-0.0712535408430617,-0.0326993746457726,0.0323080593585762,0.0385050450846362,-0.0225842862741016,-0.101245851907864,-0.005087081480361,-0.197762468022174,-0.0614248637408113,-0.061122869774934,-0.284434876434085,0.131842229307346,-0.382634629802173,0.178936714379556,0.162783079333428,0.0783300624125562,-0.0032304384806983,-0.233999238336875
"Basophils",-0.288534566699124,0.00965858963187866,-0.0546609801754385,0.0678132684429574,0.109395109395109,-0.198613502041225,-0.344022856427864,0.0871242084695329,0.0324629312155211,0.133301831815965,0.0127192263631692,0.00136623548505994,-0.0682825059644166,-0.0707915886697755,-0.00227001007357867,-0.228004889463669,-0.196932421754535,-0.00243352305208243,0.303159521292691,0.14269353569564,-0.165355709089683,0.06743858568563,-0.090173506597485,-0.0803108952846517,-0.189425702164407,-0.116940223134042,-0.160396307239077,-0.0747949567506675,-0.479896347982631,0.0526318232698135,0.324284289987181,0.215756926091144,-0.0845551796028572,-0.0619531448337248
"CD4+ memory T-cells",-0.0296981499513145,0.171738231924332,0.179473315164403,0.15866058995891,-0.076962676962677,-0.0266973386534094,0.0759381555994616,0.106067402806533,0.0147787775970838,0.147881199524798,0.0923524077022755,0.0759857918173016,0.0786564662159987,0.179460174864348,-0.070470494981981,-0.0505679231496793,-0.147229479736615,-0.0172066703246893,-0.131558513746358,0.0436388490825044,0.15668613648249,-0.0261583965404403,0.0582961394871573,-0.000841891569142584,-0.245630254771462,0.00701574630812533,-0.0638618914584319,0.0361803137625125,-0.409932916064687,0.213775460101388,-0.0857712576556046,0.03315478051833,0.0688335213096825,0.144869481828934
"CD4+ naive T-cells",-0.0741107626139992,-0.0574311118027606,0.143416166876738,0.0632712626040525,0.0423129211251444,-0.00617746635817722,0.114544710805344,0.115609573059383,0.0900566056074844,0.0207395342679722,0.0941440258289165,-0.216245038484168,-0.0444870074828209,0.290966301428115,0.0285267295443301,0.0480665042304282,0.067659995308619,-0.00400674379584691,0.0735494686505691,-0.0284323053958967,0.0276390023940343,-0.183810690704558,0.0332784679543927,-0.0351108637294373,0.0505382612957859,-0.0187615354345729,-0.0725894984019886,-0.0229371958498436,-0.284056066797566,0.0881311027530918,-0.0902221905711437,0.0612007806753538,0.163765528548358,-0.13026670895196
"CD4+ T-cells",-0.0320809351460766,-0.140435665918189,0.0335812362856234,0.0599707107495955,-0.317444856408168,-0.0548582532105687,-0.0600237649769523,0.0584305778938359,0.0898383310843427,-0.0475376128569345,0.190204674654603,0.00277679731718562,0.0643181342065588,0.0296963352852036,0.0104970406469513,0.00510246010283311,-0.0866251619676691,0.0359393041087671,-0.110244751045525,-0.125393157024098,-0.109921684484938,0.0174704560858681,0.0484772201321032,-0.0894321867488937,-0.0249443313646952,-0.0626254487756308,0.0826365996668215,0.0269225284334688,-0.0328568912420102,-0.0293136782237021,-0.158974986498715,-0.0758478420740879,-0.0267571160049521,0.00634564417927116
"CD4+ Tcm",-0.114253293422708,-0.0748154372393404,0.0133532401757567,-0.117595413828374,-0.0690033865089435,0.0869597150698987,-0.166861512636646,-0.01513124216313,-0.0483695794945291,0.0426446476477196,-0.321973119369619,-0.100635270504141,-0.175666965484504,0.0116769641690502,0.0376218865431869,-0.0275600638665345,0.103525031033434,-0.0528998335638671,-0.0610713248752307,0.0228054805392841,-0.103697472261228,-0.0854563409712278,-0.125518631686176,0.106534988173115,-0.0127879915283209,0.0943667326460789,-0.0711659556929122,-0.0813659425560851,0.0966632619507682,-0.155267094091613,-0.0101218888958652,-0.0680928577748443,-0.0451302797686802,-0.0800229221696999
"CD4+ Tem",-0.0398771968804166,0.0266781011332261,0.03834988808839,0.00614974136273593,0.181326502498026,-0.13586254946944,-0.00788359987105599,0.170972067197077,0.0597762503431974,0.0347520495180842,0.169805396024694,0.126095498422316,0.254161076905914,-0.0073793309174519,-0.025743476196678,-0.0461512148772802,0.14111894643883,0.00515181961850399,0.145601512644765,0.0823725472307084,0.235059134006028,0.0327153130980181,0.068776372039364,-0.253920316301194,-0.016087201423114,0.0748246563391658,0.176064425771449,0.193125823194878,-0.273092762671725,0.193053845595708,-0.13689493122518,0.0378763586604481,-0.16201083083043,-0.097332642714571
