"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"aDC",0.301754385964912,0.20361993792777,0.419337979094077,-0.308147733538046,-0.664055952107322,-0.591635395787958,-0.408365609327966,-0.0149339735894358,-0.0566919929865576,-0.133061224489796,0.146310228579394,0.604894327030033,0.116939454989268,-0.149632975719932
"Adipocytes",-0.77719298245614,-0.738641473008451,-0.354703832752613,-0.176115851319271,-0.194782608695652,-0.425397131648338,-0.275293255131965,0.249459783913565,-0.143191116306254,-0.0866326530612245,-0.411294791298325,-0.411790878754171,0.0959794675859955,-0.350649350649351
"Astrocytes",-0.580701754385965,0.292892913197376,-0.0787456445993032,-0.411283503374674,-0.250434782608696,-0.215744284126086,-0.181834846332384,0.104378723418498,-0.118651002599071,-0.268571428571429,-0.419969691244199,-0.721913236929922,-0.0395000789565298,-0.416149068322981
"B-cells",-0.123898656945838,0.387756140129619,0.377177700348432,0.184128803857802,0.134966262650979,0.0467782605437536,0.276312733368698,-0.0368124909164447,0.0778844320455187,-0.172369609615916,-0.310118639277278,0.722845901659298,-0.00882619307801926,0.778178478025052
"Basophils",0.329020393276647,0.524560644434617,0.552743531291019,0.0936905239733005,0.17254831504862,0.204519794266618,0.0273159215025357,0.264729891956783,-0.318779590234154,0.0743896528214718,0.161154097742193,0.151963511898181,0.087698791104002,0.648360469534042
"CD4+ memory T-cells",0.464912280701754,0.286057123726531,-0.00156794425087108,-0.064554776459261,-0.300869565217391,-0.170428966493022,-0.223810834044194,-0.0689075630252101,-0.248918760958504,-0.41969387755102,0.176726713907624,0.529045233807602,0.205758405364668,0.562958780350085
"CD4+ naive T-cells",0.377977235916375,0.000707049852871675,-0.151057804983752,-0.0651822342505872,-0.22534508363439,0.000396459332271933,0.0208694645679255,0.0280021305572003,-3.00095400186691e-05,-0.161829155192098,-0.00725538615648356,0.228569522774657,0.0354144421216884,-0.117777100881278
"CD4+ T-cells",-0.103388388102446,-0.206009694603691,0.0250346104922625,-0.0978831126389267,-0.237585245969763,0.229756238009673,-0.109898167370795,0.0698798673071215,0.20569056120718,0.00299568744193409,-0.172493595240762,-0.202748762389435,0.0515283840252386,-0.124964578669581
"CD4+ Tcm",0.557751527734781,0.0998150872574041,-0.0338990056471103,0.140537904423917,-0.186953267523948,0.0632812898120188,-0.181873727691104,0.118173710773582,-0.159394863574645,0.0292542360031783,-0.13030955000229,-0.154308105387961,-0.0221169522286136,0.604574003285704
"CD4+ Tem",0.72746211435342,-0.0285610961997769,0.0861002260384401,0.0611496746650675,-0.00974482141952888,-0.131378194829634,-0.0312554413375312,-0.194630193997101,0.0807883393469959,-0.130697047704978,0.301644081338412,0.743466586811593,0.115696171571535,0.235026904339223
