"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"aDC",-0.26792177094279,-0.303806550877584,0.06066584640195,-0.180811814450497,-0.0540540540540541,-0.0878008752392002,0.0362135689750875,-0.0806927240986179,0.11876926297146,0.108928111611294,-0.282307946172547,-0.103234267036339,-0.0532303576102318,0.149585978310557,0.0261006366570238,0.0663594467573991,0.18977442665524,0.232729080829735,-0.211884959229908,-0.195495205976647,0.0935838608980868,-0.157192828668271,-0.107373748862497,-0.0235440451564435,-0.0623471842666052,-0.209827459348632,-0.0620726858664867,-0.600608486390105,0.267068469564167,-0.0440111380949637,-0.12692364464443,0.31142022253731,0.0291881444356516
"Adipocytes",-0.171186497184309,0.0623834554511644,0.144943235826395,0.0877629858755791,0.272072072072072,-0.159281060465011,0.132219400118003,-0.0333532221607755,0.132140113480211,0.0768085543782389,-0.0714816767894661,0.230157730710988,0.0772435975507486,0.116907715433735,0.198964131770087,0.245966015207684,0.27510007242005,-0.0661070925842874,-0.0248258859657909,-0.220081632047413,-0.108112175342623,-0.165030511647829,-0.017728051553548,-0.0899701860169957,0.0655032764146551,0.0503549606741452,-0.111893637334179,0.403758613837999,-0.146559257549287,0.030022005377028,-0.162878441279332,0.491905870489869,-0.0716741705749814
"Astrocytes",0.0134224129963414,-0.206513388669182,0.157889858750725,0.0292004379075109,-0.203676354489413,-0.158561702597245,0.0437126354345769,-0.397902914727465,0.0764858127180059,0.0408612533792712,-0.279980200513821,-0.0869513995793433,-0.129661977093057,0.0872437795329895,-0.167208536659466,-0.184418115399736,0.0359612420099255,0.0190418101870936,-0.13603515322487,-0.381637295418454,0.046322314184905,-0.291316318453729,-0.211121711921349,0.174874606198526,0.0965187967181848,0.366367240566482,-0.234544628045994,0.727512811880447,0.280081943479827,0.207726851542808,-0.204029918811993,-0.174678309634349,-0.059342450381811
"B-cells",-0.0385867608100864,-0.163971500581906,-0.0296127210859516,-0.0583154990627713,-0.146094290104551,0.0907252174601889,-0.355133670372006,0.18867203757871,-0.020255626174917,0.325795472993038,0.0593756487759306,0.0133034880876791,0.012985962602155,0.0549270329884305,-0.161902476928241,-0.033233868162863,0.234329134376126,0.0351820322011665,-0.288791197050928,-0.138023564055063,-0.040205056235245,0.00174675196087135,0.176074751273071,0.000878797749130616,-0.0994211818477217,-0.310584430213976,0.0778624218768662,-0.763553622587589,0.188328794162216,-0.124000313351053,-0.141502020892133,0.0769335946870648,0.314371149728152
"Basophils",0.154294257874135,-0.428836711129422,-0.0372683186935798,-0.0632085439866595,0.0818532818532819,-0.0533547574730087,0.0699107872358941,-0.186186333726898,0.0880564423747086,0.317562725784402,-0.102408322139868,0.0457203509462761,-0.086115580669076,-0.0186187916642334,-0.165645838769359,-0.341406806534063,-0.0542615234352198,0.148481509193869,0.0448937405564901,-0.142296292653942,0.0984918940854014,0.204101000743103,0.0234715839475389,0.0193917983616736,0.00249453962911133,-0.189069261874361,-0.0300695376802928,-0.658432580589813,0.0187036603963978,-0.226657361189063,0.243117823229054,0.0737892614238354,-0.116660662923521
"CD4+ memory T-cells",-0.0995326654723623,-0.325830808997513,-0.0239289462133654,-0.194971146491423,-0.298841698841699,-0.0405907597695609,-0.113837518183017,0.0433344835518749,0.0124553475187937,0.113592864869613,-0.189816433566434,-0.11706331559372,0.0344950922596949,-0.0311129841342543,-0.105382085096076,-0.165174283569724,0.0639338693131665,-0.0404853107500681,-0.273132077317892,-0.239699361384176,-0.0671717205790949,-0.056110476857231,0.052624193933604,-0.0574970955677383,-0.0708432564536361,-0.0917601802943799,-0.0168087546795227,-0.762720233419369,0.226141457973305,0.11143791082686,-0.0434360610680172,0.314962917392939,0.195205438938472
"CD4+ naive T-cells",-0.234644232471656,0.128411678040601,0.073934883034986,-0.06716000038548,0.0683108287757034,-0.0414825974816204,-0.205193986656967,0.0143858954173932,-0.065614984165911,0.095745069371523,0.100883938268031,-0.176148072396276,-0.00519830748986565,-0.0242649896379243,-0.028435436321183,0.139095978829227,0.0300321198524939,0.122337879060613,-0.0405493500954268,-0.120517352837435,-0.0191064744145415,-0.0150310756123802,0.136346691190179,-0.0734813007527365,-0.0860698904181997,-0.168206304555779,-0.0850898232129886,-0.665541161051982,0.0629314757224772,0.118295957102822,-0.0331918343819213,0.0330152439124097,-0.0824281886497926
"CD4+ T-cells",0.038641370666352,-0.0813036689176884,-0.0095526162531705,0.0018317084630816,-0.149102887100806,-0.0229318945199881,-0.200212239113168,0.221824965292378,-0.0790588383927243,0.0380979132014101,-0.146372635325712,-0.0459428260914913,0.0214603037221337,0.0630505028398591,-0.017066806335484,-0.0383681115697941,0.0476458604954951,0.168439727701061,-0.0422462235394458,-0.0505669568315764,0.0712212193104157,-0.0462015118842634,-0.0396869071789787,-0.0161584520697203,5.21237652248737e-06,0.0359037965109528,0.0482057001618159,-0.303715440680623,-0.0238332171939781,0.148874815563732,0.00871114860497072,0.267126098239725,-0.076979133449905
"CD4+ Tcm",0.229147608977479,0.202369902636518,0.0492443696123205,-0.0952308009383512,0.167839064177769,0.105140043871633,0.033663700315438,0.0603232978436034,-0.0311955461191982,-0.00747519810888642,0.296711669748881,0.0626815811609455,0.112194879131786,-0.160004412917957,-0.0713479610242474,0.28065580366687,0.019035520439504,-0.00533607168819638,-0.08629081379597,-0.050886712423651,-0.0758492400312637,0.0471400065075734,0.0845454449458927,-9.58925888641731e-05,-0.0288877666438178,0.0068510697880749,-0.00102279250162065,0.0531106058147904,-0.215370982646979,-0.143674972325366,0.108925750148836,-0.171275433815988,-0.162242231034975
"CD4+ Tem",-0.0761376530690435,0.169000773381193,0.0448008502264135,0.110182787024981,-0.00952994402333373,0.12239131409082,0.0353205516887721,0.330409620263278,0.00105305854939648,-0.049162934274855,0.294988785044019,-0.107157200449298,0.00373412413478268,0.019539146684414,0.125417424024239,0.380923874829361,0.179672360830915,-0.0552445743028306,0.0736602034621533,0.407633124895512,-0.0268107200265762,0.101000578474561,0.0490331594094296,0.0671427135661984,-0.0321863511829669,0.0285411935073811,0.211566997606625,-0.344887771990569,0.225959340521643,0.215210246869835,0.170011502063874,0.0170797301642183,0.0137211394410002
