"","m1.raw","m1.scaled","Microbiota.x","domain.x","m2.raw","m2.scaled","Microbiota.y","domain.y","m3.raw","m3.scaled","Microbiota.x.1","domain.x.1","m4.raw","m4.scaled","Microbiota.y.1","domain.y.1"
"Aeromonadaceae|Oceanimonas",0.320966223091713,100,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Oceanimonas","microbiota",0.0113564303030951,6.10529415988572,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Oceanimonas","microbiota",0.0195840345737426,3.74287601782886,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Oceanimonas","microbiota",0.0135582693615669,2.99201887959941,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Oceanimonas","microbiota"
"age.groupyounger",0.00818641682029941,2.5505539933279,NA,"clinical",0.00749506873839612,4.02939992367149,NA,"clinical",0.0143052244645375,2.73399647944678,NA,"clinical",0.0165364180449086,3.6492323372455,NA,"clinical"
"Anaplasmataceae|Anaplasma",0.0130001228910903,4.05030871032672,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma","microbiota",0.00095175111164203,0.511667869963432,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma","microbiota",0.0216881541039972,4.14501269190287,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma","microbiota",0.00662373069716005,1.46171511796803,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Anaplasma","microbiota"
"Anaplasmataceae|Ehrlichia",0.0311376919290677,9.70123635725072,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Ehrlichia","microbiota",0.00733757860865181,3.94473215891573,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Ehrlichia","microbiota",0.0113913843479588,2.17710702691525,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Ehrlichia","microbiota",0.0118810397145462,2.62189031558557,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Ehrlichia","microbiota"
"Anaplasmataceae|Wolbachia",0.00771955529861046,2.40509896158285,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia","microbiota",0.0058787677172415,3.16046550310949,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia","microbiota",0.0348788540814063,6.66600265533029,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia","microbiota",0.0114232804500883,2.52087267645737,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia","microbiota"
"Angio.gene6",0.0857174290351795,26.7060590393297,NA,"immune",0.011872897772649,6.3829505837339,NA,"immune",0.0879786247871523,16.814363943112,NA,"immune",0.106381723383435,23.4761617666206,NA,"immune"
"Bacillaceae|Fictibacillus",0.122187846195305,38.0687553407734,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Fictibacillus","microbiota",0.00130845203572094,0.703432712478363,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Fictibacillus","microbiota",0.0213339727172193,4.0773219914223,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Fictibacillus","microbiota",0.0144531973960723,3.18951027792737,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Fictibacillus","microbiota"
"Bacillales|Acidibacillus",0.0172245645231806,5.3664726329346,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.g__Acidibacillus","microbiota",0.0300333346190058,16.1461249316466,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.g__Acidibacillus","microbiota",0.036411037782186,6.95883167413959,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.g__Acidibacillus","microbiota",0.0295230443315386,6.51510186643802,"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.g__Acidibacillus","microbiota"
"Bacteroidaceae|Bacteroides",0.141116876887628,43.9662701976292,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","microbiota",0.00424280938430122,2.28096317805277,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","microbiota",0.0284803825046702,5.4431348277053,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","microbiota",0.00837430422217011,1.84802910076912,"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","microbiota"
"Bartonellaceae|Bartonella",0.0285518091297332,8.89558061739563,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bartonellaceae.g__Bartonella","microbiota",0.00443247262188295,2.38292742437384,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bartonellaceae.g__Bartonella","microbiota",0.034089149712948,6.51507535121694,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bartonellaceae.g__Bartonella","microbiota",0.00305442925279609,0.67404694117321,"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bartonellaceae.g__Bartonella","microbiota"
