,ACE2,TMPRSS2,PID,Tinfl_gene160.mean,Tinfl_gene160.median,Tinfl_gene160.centered.scaled.mean,Tinfl_gene160.centered.noscale.mean,Tinfl_gene160.nocenter.scaled.mean,Cancer,patient,Aliquot,shortLetterCode,definition,RNAseq.legacy.flag,Sampletype.flag,Plate,Aliquot.flag,Exclude.mets.flag,Clinical.flag,Tissue.Type,Use.in.analysis,Sample.type,Sample
TCGA.02.0047.01A,1.584962501,4.994959807,TCGA.02.0047,2.862322,2.751682,-0.01051798,-0.05258148,0.7223668,GBM,TCGA-02-0047,TCGA-02-0047-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-02-0047-01A
TCGA.02.0055.01A,2.22709412,2.53682379,TCGA.02.0055,3.791864,3.719791,0.6133173,0.8769607,1.075784,GBM,TCGA-02-0055,TCGA-02-0055-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-02-0055-01A
TCGA.02.2483.01A,2.093053048,4.185700071,TCGA.02.2483,2.857971,2.743477,-0.04136513,-0.05693212,0.7482609,GBM,TCGA-02-2483,TCGA-02-2483-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-02-2483-01A
TCGA.02.2485.01A,2.550186526,2.66295742,TCGA.02.2485,2.428818,2.366162,-0.3925303,-0.4860847,0.6209052,GBM,TCGA-02-2485,TCGA-02-2485-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-02-2485-01A
TCGA.02.2486.01A,3.185486004,2.735197209,TCGA.02.2486,4.222065,4.210445,0.915477,1.307162,1.231484,GBM,TCGA-02-2486,TCGA-02-2486-01A-01R-1849-01,TP,Primary solid Tumor,1,1,1849,1,0,1,Brain,1,Tumor,TCGA-02-2486-01A
TCGA.04.1357.01A,5.258427958,2.858020772,TCGA.04.1357,5.483039,5.242832,1.763823,2.568136,1.692144,OV,TCGA-04-1357,TCGA-04-1357-01A-01R-1565-13,TP,Primary solid Tumor,1,1,1565,1,0,1,Female,1,Tumor,TCGA-04-1357-01A
TCGA.04.1362.01A,4.365205674,7.461532753,TCGA.04.1362,2.711224,2.603133,-0.1125593,-0.2036789,0.6696511,OV,TCGA-04-1362,TCGA-04-1362-01A-01R-1565-13,TP,Primary solid Tumor,1,1,1565,1,0,1,Female,1,Tumor,TCGA-04-1362-01A
TCGA.04.1364.01A,3.204698952,5.500459748,TCGA.04.1364,-0.01617434,-0.2345928,-2.046438,-2.931078,-0.2197463,OV,TCGA-04-1364,TCGA-04-1364-01A-01R-1565-13,TP,Primary solid Tumor,1,1,1565,1,0,1,Female,1,Tumor,TCGA-04-1364-01A
TCGA.04.1365.01A,4.530709876,4.733918597,TCGA.04.1365,4.139804,4.073114,0.8260855,1.224901,1.210998,OV,TCGA-04-1365,TCGA-04-1365-01A-01R-1565-13,TP,Primary solid Tumor,1,1,1565,1,0,1,Female,1,Tumor,TCGA-04-1365-01A
TCGA.04.1514.01A,4.603654301,7.891694416,TCGA.04.1514,0.2802897,0.2819183,-1.840258,-2.634614,-0.1166989,OV,TCGA-04-1514,TCGA-04-1514-01A-01R-1566-13,TP,Primary solid Tumor,1,1,1566,1,0,1,Female,1,Tumor,TCGA-04-1514-01A
