"","AliquotBarcode","ParticipantBarcode","SampleBarcode","Study","SampleTypeLetterCode","CMV","EBV","HBV","HCV","HHV","HIV","HPV","HTLV","MCV","SV","bk_polyomavirus","saimiriine_herpesvirus","Plate","Aliquot.flag"
"TCGA.22.4593.11A","TCGA-22-4593-11A-01R-1820-07","TCGA-22-4593","TCGA-22-4593-11A","LUSC","NT",0,0,0,5.69838446173616,0.0324694271323998,0,1.08772580893539,0,0,0,0,0,"1820",1
"TCGA.22.4609.11A","TCGA-22-4609-11A-01R-2125-07","TCGA-22-4609","TCGA-22-4609-11A","LUSC","NT",0,0,0,1.68782708558582,0.0237722124730398,0,0.701280267954674,0,0,0,0,0.0118861062365199,"2125",1
"TCGA.22.5471.11A","TCGA-22-5471-11A-01R-1635-07","TCGA-22-5471","TCGA-22-5471-11A","LUSC","NT",0,0,0,6.53955617288196,0.173233276102833,0,1.66015222931882,0,0,0,0,0,"1635",1
"TCGA.22.5472.11A","TCGA-22-5472-11A-11R-1635-07","TCGA-22-5472","TCGA-22-5472-11A","LUSC","NT",0,0,0,8.65411704062823,0.0458860924741687,0,1.47753217766823,0,0,0,0,0,"1635",1
"TCGA.22.5478.11A","TCGA-22-5478-11A-11R-1635-07","TCGA-22-5478","TCGA-22-5478-11A","LUSC","NT",0,0,0,11.7595929560973,0.0584085742852514,0,1.49915340665478,0,0,0,0,0.00973476238087523,"1635",1
"TCGA.22.5481.11A","TCGA-22-5481-11A-01R-1949-07","TCGA-22-5481","TCGA-22-5481-11A","LUSC","NT",0,0,0,7.72574427691842,0.136645817142775,0,1.38748060483433,0,0,0,0,0.0105112167032904,"1949",1
"TCGA.22.5482.11A","TCGA-22-5482-11A-01R-1635-07","TCGA-22-5482","TCGA-22-5482-11A","LUSC","NT",0,0,0,4.74701589580851,0.0543551438451356,0,1.38605616805096,0,0,0,0,0,"1635",1
"TCGA.22.5483.11A","TCGA-22-5483-11A-11R-1820-07","TCGA-22-5483","TCGA-22-5483-11A","LUSC","NT",0,0,0,16.8619232087448,0.0888806193232028,0,1.89188746845103,0,0,0,0,0,"1820",1
"TCGA.22.5489.11A","TCGA-22-5489-11A-01R-1635-07","TCGA-22-5489","TCGA-22-5489-11A","LUSC","NT",0,0,0,7.1923901118455,0.0707117005378069,0,1.29301395269133,0,0,0,0,0,"1635",1
"TCGA.22.5491.11A","TCGA-22-5491-11A-01R-1858-07","TCGA-22-5491","TCGA-22-5491-11A","LUSC","NT",0,0,0,8.81537012717373,0.217395070953729,0,1.41306796119924,0,0,0,0,0,"1858",1
"TCGA.33.4587.11A","TCGA-33-4587-11A-01R-2125-07","TCGA-33-4587","TCGA-33-4587-11A","LUSC","NT",0,0,0,1.10145466887324,0.0557698566518095,0,0.752893064799429,0,0,0.0139424641629524,0,0.0418273924888571,"2125",1
