"","Gene","Clinical.feature","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","ACE2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","ASIAN-WHITE",0.201652002533362,-0.645560570512581,1.0488645755793,0.84175760588517
"2","ACE2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","AA-WHITE",0.421727987431517,-0.137843962799183,0.981299937662216,0.180345737899112
"3","ACE2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","AA-ASIAN",0.220075984898155,-0.771245096106982,1.21139706590329,0.860811701329512
"4","ACE2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,0,0,0,NA,NA,"race","ASIAN-WHITE",-0.0743039891289499,-0.256162562367981,0.107554584110081,0.60366577122316
"5","ACE2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,0,0,0,NA,NA,"race","AA-WHITE",0.112590189139172,-0.0447478914047825,0.269928269683126,0.21392313156814
"6","ACE2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,0,0,0,NA,NA,"race","AA-ASIAN",0.186894178268122,-0.0424635111203109,0.416251867656554,0.135837381434781
"7","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","III-IV",0.110786014836683,-0.113112872569849,0.334684902243215,0.581183569267188
"8","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","II-IV",0.164370632259679,-0.0514328344193649,0.380174098938723,0.204502851672763
"9","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","I-IV",0.245106170445976,0.0271024217740893,0.463109919117863,0.0202403208346105
"10","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","II-III",0.0535846174229961,-0.116985028245047,0.224154263091039,0.851055628147213
"11","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","I-III",0.134320155609293,-0.0390248824726311,0.307665193691218,0.191342281548154
"12","ACE2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,0,0,0,0,NA,"stage","I-II",0.0807355381862971,-0.0820186527779729,0.243489729150567,0.579119294127177
"13","ACE2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level3-level4",0.770360352486318,-0.422861710962128,1.96358241593476,0.336109397999679
"14","ACE2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level2-level4",-0.178663303076519,-1.1754978023108,0.818171196157762,0.965846642911918
"15","ACE2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level1-level4",0.0775014029312588,-0.877129137411202,1.03213194327372,0.996607771414503
"16","ACE2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level2-level3",-0.949023655562836,-2.0849372180796,0.186889906953928,0.13511155136889
"17","ACE2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level1-level3",-0.692858949555059,-1.79192221943555,0.406204320325437,0.357360227181392
"18","ACE2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level1-level2",0.256164706007778,-0.625787785549392,1.13811719756495,0.872707464165515
"19","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level3-level4",-0.139884736443576,-0.488814727106919,0.209045254219767,0.731498823184718
"20","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level2-level4",-0.0719875325402803,-0.379556194757567,0.235581129677007,0.931550732453141
"21","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level1-level4",-0.257422463565708,-0.559000453537838,0.0441555264064223,0.125032520582199
"22","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level2-level3",0.0678972039032955,-0.234212718645565,0.370007126452156,0.938771058380899
"23","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level1-level3",-0.117537727122132,-0.413546523207614,0.178471068963351,0.737291326564965
"24","ACE2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level1-level2",-0.185434931025427,-0.431336437636891,0.0604665755860364,0.212168224667271
"25","ACE2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",-0.270966093769519,-1.01311017160391,0.471177984064876,0.663721094053465
"26","ACE2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",-0.186169625738671,-0.728935669589732,0.35659641811239,0.696331215194024
"27","ACE2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",0.0847964680308477,-0.697502946018603,0.867095882080299,0.964383353732388
"28","ACE2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",-0.0247236909283597,-0.273797065129093,0.224349683272374,0.970568823971334
"29","ACE2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",-0.0216440490005603,-0.225877295264359,0.182589197263238,0.96652275302171
"30","ACE2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",0.00307964192779941,-0.263040572989208,0.269199856844807,0.999594008161926
"31","TMPRSS2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","ASIAN-WHITE",-0.987605928841868,-1.92198751787478,-0.0532243398089528,0.0354033961874335
"32","TMPRSS2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","AA-WHITE",-0.113041637177995,-0.73018749250332,0.504104218147331,0.902978444725367
"33","TMPRSS2","race","Normal",708,644,"AA","ASIAN","WHITE",NA,NA,48,20,576,NA,NA,0,0,0,NA,NA,"race","AA-ASIAN",0.874564291663873,-0.218753013084362,1.96788159641211,0.145523020079339
"34","TMPRSS2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,13,1,145,NA,NA,"race","ASIAN-WHITE",-0.0894421879661955,-0.277085384844224,0.0982010089118328,0.503349253842198
"35","TMPRSS2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,13,1,145,NA,NA,"race","AA-WHITE",0.00365383133205821,-0.159724430503602,0.167032093167718,0.998485935056248
"36","TMPRSS2","race","Tumor",10022,8747,"AA","ASIAN","WHITE",NA,NA,857,623,7267,NA,NA,13,1,145,NA,NA,"race","AA-ASIAN",0.0930960192982537,-0.14406696019401,0.330258998790518,0.627536478117654
"37","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","III-IV",-0.0459325932880379,-0.263261810403437,0.171396623827361,0.948415308524789
"38","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","II-IV",-0.0575595799062114,-0.267043349459177,0.151924189646755,0.894729397974471
"39","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","I-IV",0.14731966972397,-0.0643511392255685,0.358990478673509,0.278920632843034
"40","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","II-III",-0.0116269866181735,-0.176734651772388,0.153480678536041,0.997897328667
"41","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","I-III",0.193252263012008,0.0253784331637907,0.361126092860225,0.0164044540816601
"42","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","I-II",0.204879249630181,0.0472940858550464,0.362464413405317,0.00466024598114834
"43","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level3-level4",-0.671120841713966,-1.86867061350784,0.526428930079904,0.46299868568866
"44","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level2-level4",0.470753272409182,-0.529696655263352,1.47120320008172,0.609858767203489
"45","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level1-level4",-0.41444145217134,-1.37253435101587,0.54365144667319,0.67193131409393
"46","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level2-level3",1.14187411412315,0.0018406960029953,2.2819075322433,0.0494713090712554
"47","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level1-level3",0.256679389542626,-0.846370083267663,1.35972886235291,0.929359044049366
"48","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level1-level2",-0.885194724580522,-1.77034597793979,-4.34712212541433e-05,0.04998384760552
