"","Gene","Clinical.feature","Cancer","Sample.type","comparison","comp.x","comp.y","p.value","p.adj","log2FC","method"
"1","ACE2","gender","ACC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"2","ACE2","gender","ACC","Tumor","FEMALE-MALE",6.81372648292865,7.14858474324141,0.688511800400661,0.81841968726871,-0.334858260312769,"Welch Two Sample t-test"
"3","ACE2","gender","BLCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"4","ACE2","gender","BLCA","Tumor","FEMALE-MALE",5.46485318575294,4.70145898598428,0.00168459304092892,0.0432659076285987,0.763394199768664,"Welch Two Sample t-test"
"5","ACE2","gender","BRCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"6","ACE2","gender","BRCA","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"7","ACE2","gender","CESC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"8","ACE2","gender","CESC","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"9","ACE2","gender","CHOL","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"10","ACE2","gender","CHOL","Tumor","FEMALE-MALE",6.86670024654967,6.83006940285091,0.971030196419532,0.971030196419532,0.036630843698763,"Welch Two Sample t-test"
"11","ACE2","gender","COAD","Normal","FEMALE-MALE",10.1926115562669,9.15839043276173,0.00398839639960993,0.0628172432938564,1.03422112350519,"Welch Two Sample t-test"
"12","ACE2","gender","COAD","Tumor","FEMALE-MALE",8.8786460622317,8.76456665275231,0.592320000568963,0.786825090955554,0.11407940947938,"Welch Two Sample t-test"
"13","ACE2","gender","DLBC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"14","ACE2","gender","DLBC","Tumor","FEMALE-MALE",1.88657370099375,1.93090459081029,0.759462870148654,0.839406330164302,-0.0443308898165347,"Welch Two Sample t-test"
"15","ACE2","gender","ESCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"16","ACE2","gender","ESCA","Tumor","FEMALE-MALE",6.66836661789022,6.04636005904848,0.247999342308047,0.58192947339743,0.62200655884174,"Welch Two Sample t-test"
"17","ACE2","gender","GBM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"18","ACE2","gender","GBM","Tumor","FEMALE-MALE",2.55804049908712,2.51940276272186,0.730056752266693,0.82131384630003,0.0386377363652604,"Welch Two Sample t-test"
"19","ACE2","gender","HNSC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"20","ACE2","gender","HNSC","Tumor","FEMALE-MALE",6.66188560138731,5.99288983871325,1.05067255006981e-05,0.000661923706543982,0.668995762674058,"Welch Two Sample t-test"
"21","ACE2","gender","KICH","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"22","ACE2","gender","KICH","Tumor","FEMALE-MALE",2.85217137740882,2.96858521482681,0.52023706017325,0.776040968991524,-0.116413837417986,"Welch Two Sample t-test"
"23","ACE2","gender","KIRC","Normal","FEMALE-MALE",9.49803783334441,9.25778256339664,0.702463643578835,0.819540917508641,0.240255269947763,"Welch Two Sample t-test"
"24","ACE2","gender","KIRC","Tumor","FEMALE-MALE",9.87058978947274,9.29904601898603,0.0229598517829505,0.284816587603286,0.571543770486711,"Welch Two Sample t-test"
"25","ACE2","gender","KIRP","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"26","ACE2","gender","KIRP","Tumor","FEMALE-MALE",10.0493986625442,10.7867316128108,0.0707432206303669,0.405165718155738,-0.737332950266598,"Welch Two Sample t-test"
"27","ACE2","gender","LAML","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"28","ACE2","gender","LAML","Tumor","FEMALE-MALE",1.77521577803479,1.87563583267458,0.333000653060919,0.692113903680164,-0.100420054639784,"Welch Two Sample t-test"
"29","ACE2","gender","LGG","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"30","ACE2","gender","LGG","Tumor","FEMALE-MALE",2.62006142436897,2.68475464301975,0.244129863315514,0.58192947339743,-0.0646932186507856,"Welch Two Sample t-test"
"31","ACE2","gender","LIHC","Normal","FEMALE-MALE",6.63952355580779,7.11343583108299,0.186352228686765,0.58192947339743,-0.473912275275195,"Welch Two Sample t-test"
"32","ACE2","gender","LIHC","Tumor","FEMALE-MALE",4.81617646014768,5.31848544888082,0.0908953329531344,0.477200498003955,-0.502308988733143,"Welch Two Sample t-test"
"33","ACE2","gender","LUAD","Normal","FEMALE-MALE",5.79118106548647,5.92697984420832,0.400693119780322,0.718008926052663,-0.135798778721857,"Welch Two Sample t-test"
"34","ACE2","gender","LUAD","Tumor","FEMALE-MALE",6.41222745356456,6.30621091543159,0.540749149268223,0.776040968991524,0.106016538132971,"Welch Two Sample t-test"
"35","ACE2","gender","LUSC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"36","ACE2","gender","LUSC","Tumor","FEMALE-MALE",6.06084360722655,5.90598824797444,0.360958093937865,0.692113903680164,0.154855359252114,"Welch Two Sample t-test"
"37","ACE2","gender","MESO","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"38","ACE2","gender","MESO","Tumor","FEMALE-MALE",2.32971312857944,2.64007584710986,0.251354553554416,0.58192947339743,-0.310362718530423,"Welch Two Sample t-test"
"39","ACE2","gender","OV","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"40","ACE2","gender","OV","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"41","ACE2","gender","PAAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"42","ACE2","gender","PAAD","Tumor","FEMALE-MALE",7.14377946186507,7.396496535009,0.417832836468159,0.718008926052663,-0.252717073143928,"Welch Two Sample t-test"
"43","ACE2","gender","PCPG","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"44","ACE2","gender","PCPG","Tumor","FEMALE-MALE",2.87211991063871,2.62110035051501,0.0508204571325088,0.355743199927561,0.251019560123708,"Welch Two Sample t-test"
"45","ACE2","gender","PRAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"46","ACE2","gender","PRAD","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"47","ACE2","gender","READ","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"48","ACE2","gender","READ","Tumor","FEMALE-MALE",9.23751318506252,9.12139716335026,0.723722573676209,0.82131384630003,0.116116021712257,"Welch Two Sample t-test"
"49","ACE2","gender","SARC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"50","ACE2","gender","SARC","Tumor","FEMALE-MALE",2.67512346964878,2.94101003573598,0.173040110438579,0.58192947339743,-0.265886566087205,"Welch Two Sample t-test"
"51","ACE2","gender","SKCMmets","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"52","ACE2","gender","SKCMmets","Tumor","FEMALE-MALE",2.19557534442364,2.15367021921802,0.546055278268654,0.776040968991524,0.0419051252056186,"Welch Two Sample t-test"
"53","ACE2","gender","SKCMprimary","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"54","ACE2","gender","SKCMprimary","Tumor","FEMALE-MALE",2.60671808163841,2.4789462503109,0.456517733384381,0.737451723159385,0.127771831327509,"Welch Two Sample t-test"
"55","ACE2","gender","STAD","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"56","ACE2","gender","STAD","Tumor","FEMALE-MALE",6.70103937917006,6.6475969447822,0.846099740989777,0.873840716104196,0.0534424343878594,"Welch Two Sample t-test"
"57","ACE2","gender","TGCT","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"58","ACE2","gender","TGCT","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"59","ACE2","gender","THCA","Normal","FEMALE-MALE",5.79820552386318,5.47945463081121,0.04978390478275,0.355743199927561,0.318750893051962,"Welch Two Sample t-test"
"60","ACE2","gender","THCA","Tumor","FEMALE-MALE",5.392937104248,5.27089560858325,0.148312762381006,0.58192947339743,0.122041495664753,"Welch Two Sample t-test"
"61","ACE2","gender","THYM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"62","ACE2","gender","THYM","Tumor","FEMALE-MALE",4.31464267662532,4.48812460345837,0.566633088470001,0.776040968991524,-0.173481926833047,"Welch Two Sample t-test"
"63","ACE2","gender","UCEC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"64","ACE2","gender","UCEC","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"65","ACE2","gender","UCS","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"66","ACE2","gender","UCS","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"67","ACE2","gender","UVM","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"68","ACE2","gender","UVM","Tumor","FEMALE-MALE",2.71413996454229,2.39988368394831,0.115751331174144,0.560948758767007,0.314256280593978,"Welch Two Sample t-test"
"69","TMPRSS2","gender","ACC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"70","TMPRSS2","gender","ACC","Tumor","FEMALE-MALE",1.88928806614618,1.66514298431699,0.203222084253264,0.58192947339743,0.224145081829192,"Welch Two Sample t-test"
"71","TMPRSS2","gender","BLCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"72","TMPRSS2","gender","BLCA","Tumor","FEMALE-MALE",8.57696176761441,9.14467023102968,0.133933055297562,0.56251883224976,-0.567708463415272,"Welch Two Sample t-test"
"73","TMPRSS2","gender","BRCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"74","TMPRSS2","gender","BRCA","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"75","TMPRSS2","gender","CESC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"76","TMPRSS2","gender","CESC","Tumor",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"77","TMPRSS2","gender","CHOL","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"78","TMPRSS2","gender","CHOL","Tumor","FEMALE-MALE",9.73436325170457,10.3344832145072,0.390389079640522,0.718008926052663,-0.6001199628026,"Welch Two Sample t-test"
"79","TMPRSS2","gender","COAD","Normal","FEMALE-MALE",13.3495466282734,13.1862760934025,0.44532789492655,0.737451723159385,0.163270534870849,"Welch Two Sample t-test"
"80","TMPRSS2","gender","COAD","Tumor","FEMALE-MALE",11.8037187626898,11.7746306989449,0.676869850506697,0.81841968726871,0.0290880637448954,"Welch Two Sample t-test"
"81","TMPRSS2","gender","DLBC","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"82","TMPRSS2","gender","DLBC","Tumor","FEMALE-MALE",2.7472721506829,2.52333944527735,0.652169969297494,0.81841968726871,0.223932705405546,"Welch Two Sample t-test"
"83","TMPRSS2","gender","ESCA","Normal",NA,NA,NA,NA,NA,NA,"Welch Two Sample t-test"
"84","TMPRSS2","gender","ESCA","Tumor","FEMALE-MALE",8.99957082722921,8.84669568647167,0.835414506363364,0.873840716104196,0.152875140757534,"Welch Two Sample t-test"
