"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj"
"1","ACE2","grade","ACC","Tumor",79,0,"G1G2","G3G4",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ACE2","grade","BLCA","Tumor",408,405,"G1G2","G3G4",NA,NA,NA,21,384,NA,NA,NA,0,0,NA,NA,NA,"grade","G1G2-G3G4",-0.287132178144007,4.63249632671819,4.9196285048622,-0.885778102297063,0.384126620117175,25.1554110191283,-0.954539279423754,0.38027492313574,"Welch Two Sample t-test","two.sided",0.61460259218748
"3","ACE2","grade","BRCA","Tumor",1084,0,"G1G2","G3G4",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ACE2","grade","CESC","Tumor",304,272,"G1G2","G3G4",NA,NA,NA,153,119,NA,NA,NA,0,0,NA,NA,NA,"grade","G1G2-G3G4",0.370704837785661,6.04891083652424,5.67820599873858,1.79505938687654,0.0738626351657417,247.83084220667,-0.036041408175688,0.77745108374701,"Welch Two Sample t-test","two.sided",0.161154840361618
"5","ACE2","grade","CHOL","Tumor",36,36,"G1G2","G3G4",NA,NA,NA,16,20,NA,NA,NA,0,0,NA,NA,NA,"grade","G1G2-G3G4",-0.246055967744075,6.71372211171463,6.9597780794587,-0.241285903104148,0.81080648261794,33.4505508344857,-2.31973121876136,1.82761928327321,"Welch Two Sample t-test","two.sided",0.926635980134789
"6","ACE2","grade","COAD","Tumor",447,0,"G1G2","G3G4",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ACE2","grade","DLBC","Tumor",48,0,"G1G2","G3G4",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ACE2","grade","ESCA","Tumor",161,126,"G1G2","G3G4",NA,NA,NA,82,44,NA,NA,NA,0,0,NA,NA,NA,"grade","G1G2-G3G4",0.330248094832063,6.10805682081683,5.77780872598476,0.766295507367603,0.446054837080524,70.6090716481434,-0.529158200692396,1.18965439035652,"Welch Two Sample t-test","two.sided",0.629724475878386
"9","ACE2","grade","GBM","Tumor",152,0,"G1G2","G3G4",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ACE2","grade","HNSC","Tumor",500,481,"G1G2","G3G4",NA,NA,NA,360,121,NA,NA,NA,0,0,NA,NA,NA,"grade","G1G2-G3G4",0.789916123813184,6.38108349538204,5.59116737156886,4.44730980516954,1.49982723538597e-05,184.424334876859,0.439494435954333,1.14033781167204,"Welch Two Sample t-test","two.sided",0.000119986178830877
