"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","Group1.mean","Group2.mean","Group3.mean","Group4.mean","Group5.mean","term","comparison","estimate","conf.low","conf.high","adj.p.value","p.adj"
"1","ACE2","race","ACC","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ACE2","race","ACC","Tumor",79,68,"AA","ASIAN","WHITE",NA,NA,1,1,66,NA,NA,0,0,0,NA,NA,7.82364110317598,5.08985403499358,6.8340221816791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ACE2","race","BLCA","Normal",19,18,"AA","ASIAN","WHITE",NA,NA,1,0,17,NA,NA,0,0,0,NA,NA,3.90228586664048,NA,5.42087909367085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ACE2","race","BLCA","Tumor",408,391,"AA","ASIAN","WHITE",NA,NA,23,44,324,NA,NA,0,0,0,NA,NA,5.18991704549284,4.89286071931816,4.8943620486119,NA,NA,"race","ASIAN-WHITE",-0.00150132929374003,-0.772658095189494,0.769655436602014,0.999988432922797,0.999988432922797
"5","ACE2","race","BLCA","Tumor",408,391,"AA","ASIAN","WHITE",NA,NA,23,44,324,NA,NA,0,0,0,NA,NA,5.18991704549284,4.89286071931816,4.8943620486119,NA,NA,"race","AA-WHITE",0.295554996880941,-0.740173490639987,1.33128348440187,0.780270004300276,0.999988432922797
"6","ACE2","race","BLCA","Tumor",408,391,"AA","ASIAN","WHITE",NA,NA,23,44,324,NA,NA,0,0,0,NA,NA,5.18991704549284,4.89286071931816,4.8943620486119,NA,NA,"race","AA-ASIAN",0.297056326174681,-0.937937402987429,1.53205005533679,0.838310653267979,0.999988432922797
"7","ACE2","race","BRCA","Normal",113,112,"AA","ASIAN","WHITE",NA,NA,6,1,105,NA,NA,0,0,0,NA,NA,5.59513878956223,4.89855181044175,4.68839535555338,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ACE2","race","BRCA","Tumor",1084,989,"AA","ASIAN","WHITE",NA,NA,182,61,746,NA,NA,0,0,0,NA,NA,3.57378430034627,3.75198958115077,3.12234744902748,NA,NA,"race","ASIAN-WHITE",0.629642132123303,0.0171363131026676,1.24214795114394,0.0422826629251455,0.317186188477255
"9","ACE2","race","BRCA","Tumor",1084,989,"AA","ASIAN","WHITE",NA,NA,182,61,746,NA,NA,0,0,0,NA,NA,3.57378430034627,3.75198958115077,3.12234744902748,NA,NA,"race","AA-WHITE",0.451436851318796,0.071180336636485,0.831693366001106,0.0149887367998919,0.179864841598703
"10","ACE2","race","BRCA","Tumor",1084,989,"AA","ASIAN","WHITE",NA,NA,182,61,746,NA,NA,0,0,0,NA,NA,3.57378430034627,3.75198958115077,3.12234744902748,NA,NA,"race","AA-ASIAN",-0.178205280804508,-0.858677356939405,0.502266795330389,0.812109861493142,0.999988432922797
"11","ACE2","race","CESC","Normal",3,3,"AA","ASIAN","WHITE",NA,NA,1,0,2,NA,NA,0,0,0,NA,NA,3.31189541472597,NA,4.38250853089238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ACE2","race","CESC","Tumor",304,259,"AA","ASIAN","WHITE",NA,NA,30,20,209,NA,NA,0,0,0,NA,NA,6.31599313303565,5.9297346416751,5.9457478434225,NA,NA,"race","ASIAN-WHITE",-0.0160132017474011,-0.967404489104113,0.935378085609311,0.999132370799105,0.999988432922797
"13","ACE2","race","CESC","Tumor",304,259,"AA","ASIAN","WHITE",NA,NA,30,20,209,NA,NA,0,0,0,NA,NA,6.31599313303565,5.9297346416751,5.9457478434225,NA,NA,"race","AA-WHITE",0.370245289613145,-0.42334208463845,1.16383266386474,0.515035629675104,0.999988432922797
"14","ACE2","race","CESC","Tumor",304,259,"AA","ASIAN","WHITE",NA,NA,30,20,209,NA,NA,0,0,0,NA,NA,6.31599313303565,5.9297346416751,5.9457478434225,NA,NA,"race","AA-ASIAN",0.386258491360546,-0.787122224960291,1.55963920768138,0.718082498677208,0.999988432922797
"15","ACE2","race","CHOL","Normal",9,9,"AA","ASIAN","WHITE",NA,NA,0,0,9,NA,NA,0,0,0,NA,NA,NA,NA,7.26280756808501,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ACE2","race","CHOL","Tumor",36,36,"AA","ASIAN","WHITE",NA,NA,2,3,31,NA,NA,0,0,0,NA,NA,7.51741730656959,7.84493234348531,6.71114463654881,NA,NA,NA,NA,NA,NA,NA,NA,NA
