"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","Group1.mean","Group2.mean","Group3.mean","Group4.mean","Group5.mean","term","comparison","estimate","conf.low","conf.high","adj.p.value","p.adj"
"1","ACE2","stage","ACC","Tumor",79,77,"I","II","III","IV",NA,9,37,16,15,NA,0,0,0,0,NA,6.46074105209061,6.84627333532528,6.84007353982161,7.02080892084876,NA,NA,NA,NA,NA,NA,NA,NA
"2","ACE2","stage","BLCA","Tumor",408,406,"I","II","III","IV",NA,2,130,140,134,NA,0,0,0,0,NA,6.48845923101081,4.94565284596783,5.05041745493411,4.65812770708863,NA,NA,NA,NA,NA,NA,NA,NA
"3","ACE2","stage","BRCA","Tumor",1084,1061,"I","II","III","IV",NA,179,615,247,20,NA,0,0,0,0,NA,3.00497498230008,3.33976768216931,3.00268336542715,3.07067107299439,NA,"stage","III-IV",-0.0679877075672684,-1.22324513755039,1.08726972241585,0.998762606368866,0.999999365038268
"4","ACE2","stage","BRCA","Tumor",1084,1061,"I","II","III","IV",NA,179,615,247,20,NA,0,0,0,0,NA,3.00497498230008,3.33976768216931,3.00268336542715,3.07067107299439,NA,"stage","II-IV",0.269096609174902,-0.859973528437572,1.39816674678738,0.927876838081997,0.999999365038268
"5","ACE2","stage","BRCA","Tumor",1084,1061,"I","II","III","IV",NA,179,615,247,20,NA,0,0,0,0,NA,3.00497498230008,3.33976768216931,3.00268336542715,3.07067107299439,NA,"stage","I-IV",-0.0656960906943347,-1.23727525376926,1.10588307238059,0.998928724888309,0.999999365038268
"6","ACE2","stage","BRCA","Tumor",1084,1061,"I","II","III","IV",NA,179,615,247,20,NA,0,0,0,0,NA,3.00497498230008,3.33976768216931,3.00268336542715,3.07067107299439,NA,"stage","II-III",0.33708431674217,-0.0372453197527635,0.711413953237104,0.0947758113953192,0.999999365038268
"7","ACE2","stage","BRCA","Tumor",1084,1061,"I","II","III","IV",NA,179,615,247,20,NA,0,0,0,0,NA,3.00497498230008,3.33976768216931,3.00268336542715,3.07067107299439,NA,"stage","I-III",0.00229161687293367,-0.485479883382594,0.490063117128461,0.999999365038268,0.999999365038268
"8","ACE2","stage","BRCA","Tumor",1084,1061,"I","II","III","IV",NA,179,615,247,20,NA,0,0,0,0,NA,3.00497498230008,3.33976768216931,3.00268336542715,3.07067107299439,NA,"stage","I-II",-0.334792699869237,-0.756812465494709,0.0872270657562365,0.173573268415509,0.999999365038268
"9","ACE2","stage","CESC","Tumor",304,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ACE2","stage","CHOL","Tumor",36,36,"I","II","III","IV",NA,19,9,1,7,NA,0,0,0,0,NA,7.27992546548853,5.87196159564452,2.75388260905752,7.52785636606684,NA,NA,NA,NA,NA,NA,NA,NA
"11","ACE2","stage","COAD","Tumor",447,436,"I","II","III","IV",NA,74,175,124,63,NA,0,0,0,0,NA,9.02879816006571,8.69643366776593,8.76924142586926,8.91969955208819,NA,"stage","III-IV",-0.150458126218924,-1.0421527771629,0.741236524725051,0.972379674889838,0.999999365038268
"12","ACE2","stage","COAD","Tumor",447,436,"I","II","III","IV",NA,74,175,124,63,NA,0,0,0,0,NA,9.02879816006571,8.69643366776593,8.76924142586926,8.91969955208819,NA,"stage","II-IV",-0.223265884322263,-1.07005575614188,0.623523987497358,0.904674432935386,0.999999365038268
"13","ACE2","stage","COAD","Tumor",447,436,"I","II","III","IV",NA,74,175,124,63,NA,0,0,0,0,NA,9.02879816006571,8.69643366776593,8.76924142586926,8.91969955208819,NA,"stage","I-IV",0.109098607977522,-0.878887014104046,1.09708423005909,0.991938956891799,0.999999365038268
"14","ACE2","stage","COAD","Tumor",447,436,"I","II","III","IV",NA,74,175,124,63,NA,0,0,0,0,NA,9.02879816006571,8.69643366776593,8.76924142586926,8.91969955208819,NA,"stage","II-III",-0.0728077581033393,-0.749330192092709,0.60371467588603,0.992526319212479,0.999999365038268
"15","ACE2","stage","COAD","Tumor",447,436,"I","II","III","IV",NA,74,175,124,63,NA,0,0,0,0,NA,9.02879816006571,8.69643366776593,8.76924142586926,8.91969955208819,NA,"stage","I-III",0.259556734196446,-0.587051266069624,1.10616473446251,0.85867301731482,0.999999365038268
"16","ACE2","stage","COAD","Tumor",447,436,"I","II","III","IV",NA,74,175,124,63,NA,0,0,0,0,NA,9.02879816006571,8.69643366776593,8.76924142586926,8.91969955208819,NA,"stage","I-II",0.332364492299785,-0.466809357753323,1.13153834235289,0.706446510061948,0.999999365038268
"17","ACE2","stage","DLBC","Tumor",48,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ACE2","stage","ESCA","Tumor",161,142,"I","II","III","IV",NA,16,69,49,8,NA,0,0,0,0,NA,6.79483541116072,5.90773478820326,5.7767620582133,6.7984860422725,NA,NA,NA,NA,NA,NA,NA,NA
"19","ACE2","stage","GBM","Tumor",152,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ACE2","stage","HNSC","Tumor",500,432,"I","II","III","IV",NA,25,70,78,259,NA,0,0,0,0,NA,6.42415223647825,6.26369578942458,6.23005547641192,6.14874672443153,NA,"stage","III-IV",0.0813087519803846,-0.452344425310771,0.61496192927154,0.979395232515783,0.999999365038268
"21","ACE2","stage","HNSC","Tumor",500,432,"I","II","III","IV",NA,25,70,78,259,NA,0,0,0,0,NA,6.42415223647825,6.26369578942458,6.23005547641192,6.14874672443153,NA,"stage","II-IV",0.114949064993051,-0.441647317487662,0.671545447473764,0.951088584021536,0.999999365038268
"22","ACE2","stage","HNSC","Tumor",500,432,"I","II","III","IV",NA,25,70,78,259,NA,0,0,0,0,NA,6.42415223647825,6.26369578942458,6.23005547641192,6.14874672443153,NA,"stage","I-IV",0.275405512046721,-0.589922207789958,1.1407332318834,0.844597456097041,0.999999365038268
"23","ACE2","stage","HNSC","Tumor",500,432,"I","II","III","IV",NA,25,70,78,259,NA,0,0,0,0,NA,6.42415223647825,6.26369578942458,6.23005547641192,6.14874672443153,NA,"stage","II-III",0.0336403130126666,-0.646621150041736,0.713901776067069,0.999258036800212,0.999999365038268
"24","ACE2","stage","HNSC","Tumor",500,432,"I","II","III","IV",NA,25,70,78,259,NA,0,0,0,0,NA,6.42415223647825,6.26369578942458,6.23005547641192,6.14874672443153,NA,"stage","I-III",0.194096760066336,-0.755507466885106,1.14370098701778,0.952480499726243,0.999999365038268
"25","ACE2","stage","HNSC","Tumor",500,432,"I","II","III","IV",NA,25,70,78,259,NA,0,0,0,0,NA,6.42415223647825,6.26369578942458,6.23005547641192,6.14874672443153,NA,"stage","I-II",0.16045644705367,-0.802228344143177,1.12314123825052,0.973328910494302,0.999999365038268
"26","ACE2","stage","KICH","Tumor",65,65,"I","II","III","IV",NA,20,25,14,6,NA,0,0,0,0,NA,3.05535377480411,2.83615925634279,3.18632229240612,2.21861836542283,NA,NA,NA,NA,NA,NA,NA,NA
"27","ACE2","stage","KIRC","Tumor",530,527,"I","II","III","IV",NA,265,57,123,82,NA,0,0,0,0,NA,9.9361426366255,9.31435253728095,9.27460217246379,8.54848991792694,NA,"stage","III-IV",0.726112254536856,-0.291970547400164,1.74419505647388,0.25660356127052,0.999999365038268
"28","ACE2","stage","KIRC","Tumor",530,527,"I","II","III","IV",NA,265,57,123,82,NA,0,0,0,0,NA,9.9361426366255,9.31435253728095,9.27460217246379,8.54848991792694,NA,"stage","II-IV",0.76586261935401,-0.465621167886281,1.9973464065943,0.377875555016151,0.999999365038268
"29","ACE2","stage","KIRC","Tumor",530,527,"I","II","III","IV",NA,265,57,123,82,NA,0,0,0,0,NA,9.9361426366255,9.31435253728095,9.27460217246379,8.54848991792694,NA,"stage","I-IV",1.38765271869856,0.485249726324489,2.29005571107264,0.000487607427137493,0.0245700167775054
"30","ACE2","stage","KIRC","Tumor",530,527,"I","II","III","IV",NA,265,57,123,82,NA,0,0,0,0,NA,9.9361426366255,9.31435253728095,9.27460217246379,8.54848991792694,NA,"stage","II-III",0.039750364817154,-1.1044759239543,1.18397665358861,0.999742603929029,0.999999365038268
"31","ACE2","stage","KIRC","Tumor",530,527,"I","II","III","IV",NA,265,57,123,82,NA,0,0,0,0,NA,9.9361426366255,9.31435253728095,9.27460217246379,8.54848991792694,NA,"stage","I-III",0.661540464161707,-0.117582531472292,1.44066345979571,0.127788088458135,0.999999365038268
"32","ACE2","stage","KIRC","Tumor",530,527,"I","II","III","IV",NA,265,57,123,82,NA,0,0,0,0,NA,9.9361426366255,9.31435253728095,9.27460217246379,8.54848991792694,NA,"stage","I-II",0.621790099344553,-0.420847118944462,1.66442731763357,0.416071186060025,0.999999365038268
"33","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","III-IV",1.04179895208405,-0.80985427339747,2.89345217756558,0.466372086375147,0.999999365038268
"34","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","II-IV",1.63890544951474,-0.492246321511709,3.77005722054118,0.194918304309301,0.999999365038268
"35","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","I-IV",1.52188791234419,-0.175297757331306,3.21907358201969,0.0964103241771382,0.999999365038268
"36","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","II-III",0.597106497430683,-1.03741229686667,2.23162529172804,0.780734319281447,0.999999365038268
"37","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","I-III",0.480088960260137,-0.525039397271366,1.48521731779164,0.605054838415284,0.999999365038268
"38","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","I-II",-0.117017537170547,-1.57423104892063,1.34019597457953,0.996826188394298,0.999999365038268
"39","ACE2","stage","LAML","Tumor",145,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
