"","Cancer","Sample.type","Sample.total","Gene1","Gene2","estimate","statistic","p.value","method","alternative","p.adj"
"1","ACC","Tumor",79,"ACE2","Angio.gene6",-0.0104186952288218,83016,0.927304102264002,"Spearman's rank correlation rho","two.sided",0.957208431421285
"2","ACC","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"3","BLCA","Tumor",408,"ACE2","Angio.gene6",-0.148224356212169,12997307.228554,0.00268745401750474,"Spearman's rank correlation rho","two.sided",0.0120112931650692
"4","BLCA","Normal",19,"ACE2","Angio.gene6",-0.33859649122807,1526,0.156296238678632,"Spearman's rank correlation rho","two.sided",0.287085430233642
"5","BRCA","Tumor",1084,"ACE2","Angio.gene6",0.187116949998244,172569600.812446,5.35017656761647e-10,"Spearman's rank correlation rho","two.sided",8.47111289872608e-09
"6","BRCA","Normal",113,"ACE2","Angio.gene6",0.012841839111052,237376,0.892474841877053,"Spearman's rank correlation rho","two.sided",0.932569684667564
"7","CESC","Tumor",304,"ACE2","Angio.gene6",0.0327958550816255,4528798,0.568737301202777,"Spearman's rank correlation rho","two.sided",0.684098735671347
"8","CESC","Normal",3,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"9","CHOL","Tumor",36,"ACE2","Angio.gene6",0.00437580437580438,7736,0.980281558494043,"Spearman's rank correlation rho","two.sided",0.986409757415621
"10","CHOL","Normal",9,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"11","COAD","Tumor",447,"ACE2","Angio.gene6",-0.0904699383891757,16232404,0.0559865580631279,"Spearman's rank correlation rho","two.sided",0.135681709591764
"12","COAD","Normal",41,"ACE2","Angio.gene6",-0.0977351916376307,12602,0.54196802737787,"Spearman's rank correlation rho","two.sided",0.664155919636718
"13","DLBC","Tumor",48,"ACE2","Angio.gene6",0.24334727135282,13940.5698725956,0.0955786473292522,"Spearman's rank correlation rho","two.sided",0.200884325138915
"14","DLBC","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"15","ESCA","Tumor",161,"ACE2","Angio.gene6",0.0793248217161261,640348,0.316833641860117,"Spearman's rank correlation rho","two.sided",0.453582265668699
"16","ESCA","Normal",9,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"17","GBM","Tumor",152,"ACE2","Angio.gene6",-0.0899642168720247,637929.896993991,0.270359923193748,"Spearman's rank correlation rho","two.sided",0.40898396024532
"18","GBM","Normal",0,"ACE2","Angio.gene6",NA,NA,NA,NA,NA,NA
"19","HNSC","Tumor",500,"ACE2","Angio.gene6",-0.207846399385598,25163366,2.91632463151865e-06,"Spearman's rank correlation rho","two.sided",2.27090852454321e-05
"20","HNSC","Normal",44,"ACE2","Angio.gene6",-0.456236786469345,20664,0.00205477865088665,"Spearman's rank correlation rho","two.sided",0.00966356296209069
"21","KICH","Tumor",65,"ACE2","Angio.gene6",0.171286836623387,37921.9143561138,0.172482576565981,"Spearman's rank correlation rho","two.sided",0.305706059212092
"22","KICH","Normal",24,"ACE2","Angio.gene6",-0.0226086956521739,2352,0.917403093435699,"Spearman's rank correlation rho","two.sided",0.9493822862352
"23","KIRC","Tumor",530,"ACE2","Angio.gene6",0.0909070739836942,22557090.9545465,0.0364179055553112,"Spearman's rank correlation rho","two.sided",0.0961028063265156
