"","Cancer","Sample.type","Sample.total","Sample.xcell.isNA","Sample.gene.isNA","Sample.xcell.pass","Gene1","Gene2","estimate","statistic","p.value","method","alternative","p.adj","p.value.2","p.adj.2"
"1","ACC","Tumor",79,0,0,79,"aDC","ACE2",-0.213369361537454,99690.4267439172,0.0590199284221719,"Spearman's rank correlation rho","two.sided",0.170570542795745,0.0590199284221719,0.172075376724144
"2","ACC","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"3","BLCA","Tumor",408,0,0,408,"aDC","ACE2",0.11749093670817,9989547.22178686,0.0175895146486086,"Spearman's rank correlation rho","two.sided",0.0673206393981947,0.0175895146486086,0.0677703811064972
"4","BLCA","Normal",19,0,0,19,"aDC","ACE2",0.154385964912281,964,0.526564676813248,"Spearman's rank correlation rho","two.sided",0.721021761690076,0.526564676813248,0.722460766379111
"5","BRCA","Tumor",1084,0,0,1084,"aDC","ACE2",0.275281052397137,153852955.21757,2.65920381174887e-20,"Spearman's rank correlation rho","two.sided",2.3824218938781e-18,2.65920381174887e-20,2.44807914548274e-18
"6","BRCA","Normal",113,0,0,113,"aDC","ACE2",0.110623361414905,213863.064020726,0.243431911303016,"Spearman's rank correlation rho","two.sided",0.455834674064906,0.243431911303016,0.457215546546252
"7","CESC","Tumor",304,0,0,304,"aDC","ACE2",0.275810649881486,3390915.24542092,1.03863273617167e-06,"Spearman's rank correlation rho","two.sided",1.5958316026058e-05,1.03863273617167e-06,1.59361931943916e-05
"8","CESC","Normal",3,0,0,3,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"9","CHOL","Tumor",36,0,0,36,"aDC","ACE2",0.0532818532818533,7356,0.756953333457794,"Spearman's rank correlation rho","two.sided",0.876635924479351,0.756953333457794,0.876777153140087
"10","CHOL","Normal",9,0,0,9,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"11","COAD","Tumor",447,0,0,447,"aDC","ACE2",-0.20610715968915,17953744.5225561,1.11980512498625e-05,"Spearman's rank correlation rho","two.sided",0.000137246250482418,1.11980512498625e-05,0.000137453251301342
"12","COAD","Normal",41,0,0,41,"aDC","ACE2",0.34581881533101,7510,0.0273299934736168,"Spearman's rank correlation rho","two.sided",0.0946843223332376,0.0273299934736168,0.0955938227181037
"13","DLBC","Tumor",48,0,0,48,"aDC","ACE2",-0.0235868513604388,18858.5641494647,0.873567249110606,"Spearman's rank correlation rho","two.sided",0.93777717543229,0.873567249110606,0.937023288616575
"14","DLBC","Normal",0,0,0,0,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"15","ESCA","Tumor",161,0,0,161,"aDC","ACE2",-0.00886393535748231,701685.044319836,0.91114329529076,"Spearman's rank correlation rho","two.sided",0.958277653765287,0.91114329529076,0.957876348412203
"16","ESCA","Normal",9,0,0,9,"aDC","ACE2",NA,NA,NA,NA,NA,NA,NA,NA
"17","GBM","Tumor",152,0,0,152,"aDC","ACE2",-0.0810334175905644,632702.914513735,0.3209862741782,"Spearman's rank correlation rho","two.sided",0.54230908102192,0.3209862741782,0.543390847564816
