"","KICH","KIRC","KIRP","THCA","LUAD","BRCA","LUSC","PRAD","COAD","LIHC","STAD","HNSC","BLCA","UCEC"
"B-cells",-0.106973260027072,-0.144043737564342,-0.405933123164082,0.205232546518782,0.400176733573653,-0.0315870086411393,0.0725304886224506,0.029952411807042,0.229965156794425,-0.037935418358193,0.401429944132523,0.38139923527088,-0.0761091749810148,0.423150923235845
"CD4+ memory T-cells",0.0739130434782609,-0.172454820245675,-0.262120796628335,0.0736719062413486,0.208591466978375,0.0818476330861176,-0.0316326530612245,0.154785281311363,-0.115156794425087,0.0634333733493397,0.258847121126732,0.366397688659059,0.359649122807018,0.157538114059853
"CD4+ naive T-cells",-0.207689180174376,0.00849083736615723,-0.188963515542308,0.108554321706339,0.227832427821736,-0.026358542032849,-0.245565737713817,-0.159527232723689,-0.063135337041366,0.0422577606590477,-0.105441963983216,-0.0801487949379868,0.0581503439871346,0.292901167113127
"CD4+ T-cells",-0.0419793479721011,-0.256990440062705,0.311120163965207,-0.0445955914311045,0.102284985491343,0.0581579832566503,-0.137427161398726,-0.0471754137115154,-0.380876758851153,-0.162478971094189,-0.318202918750086,-0.00485006413976664,-0.524530079088555,-0.628294131644282
"CD4+ Tcm",-0.0959760089962516,0.0589639522852252,-0.0359877801601546,-0.324248669599188,-0.0314674749653816,-0.0113337506986785,0.00723138418056092,0.549093599161909,0.00496795772414547,0.114007008142228,-0.120983350233753,0.121126195912765,0.363518567597109,0.679784166373878
"CD4+ Tem",0.292344642585866,0.242899989073624,0.186214647486858,0.197953596742252,0.179506818665301,-0.157701951135693,0.136215140414962,0.115450449054555,0.301786521023399,-0.14347513398084,0.550939858519521,0.129925405754878,0.249567294705188,0.242628852727554
"CD8+ naive T-cells",0.0985704502815263,-0.0340614961158694,-0.186691076847685,-0.0260543234181304,-0.00419999820002496,-0.022804192862407,-0.0735487819204703,-0.131608717026414,-0.0102944503835432,-0.202785114045618,-0.385277324872855,0.0431289640591966,0.322948692783309,0.54488989271598
"CD8+ T-cells",-0.246886972636316,-0.00611989565788673,0.222117346628682,0.166753822018518,0.396270360493631,0.00718053601930969,-0.0665305081228462,0.169421464005105,-0.0830207463109625,0.105435386381724,0.186622537462965,0.127186344034602,0.171929824561404,-0.0302267691068718
"CD8+ Tcm",-0.161848126506029,0.0209336186595205,0.231249856007768,0.182072656802732,0.27221321179428,0.132379556293789,-0.0529591836734694,0.0970169085126943,0.168822684074943,0.0692453600526134,0.391052787463171,0.230150694882662,0.396491228070175,0.130582333314932
"CD8+ Tem",0.161848126506029,0.230780121674759,0.110486639393593,0.268958116550675,0.172405454185331,-0.0624408808553143,-0.0317122097687364,-0.210538859703356,0.148793316277759,0.178130258088863,-0.416778819088431,0.202033906903462,0.259074948794799,-0.104526790339547
"cDC",0.565217391304348,0.344652389221172,0.12133431085044,0.0616137069734535,0.158094681472823,0.132028079047176,-0.218367346938775,0.177921967045163,-0.193728222996516,-0.146506602641056,-0.0451612903225806,0.0326990838618746,0.2,-0.490683229813665
