"","BRCA","DLBC","PRAD","UCS","SKCMprimary","KICH","HNSC","CESC","BLCA","UCEC","LUSC","OV","CHOL","THYM","PAAD","PCPG","LAML","SARC","LUAD","LIHC","THCA","ESCA","STAD","KIRP","KIRC","MESO","LGG","SKCMmets","GBM","UVM","READ","COAD","ACC","TGCT"
"aDC",0.275281052397137,-0.0235868513604388,0.299292391983275,0.144397546117223,-0.0690516061080677,0.205356851139087,0.0920504702939967,0.275810649881486,0.11749093670817,0.0950597570468216,-0.0985277917903035,0.137374678774449,0.0532818532818533,0.0293690357498932,0.146733667256368,0.14329401055146,0.00707437450757458,-0.0787859802601846,0.0149558763738272,-0.154953369839867,0.135878899965403,-0.00886393535748231,0.0416107509560889,-0.0808391911911451,0.0470380462555854,0.134920669589409,-0.00653326867572872,-0.095689244308137,-0.0810334175905644,-0.105395905303099,-0.100261104303138,-0.20610715968915,-0.213369361537454,-0.188361305782867
"Basophils",-0.0546609801754385,-0.344022856427864,-0.090173506597485,-0.0845551796028572,-0.160396307239077,0.0127192263631692,0.133301831815965,0.0678132684429574,0.00965858963187866,0.215756926091144,-0.00243352305208243,0.14269353569564,0.109395109395109,0.324284289987181,-0.165355709089683,0.06743858568563,-0.0707915886697755,-0.189425702164407,-0.196932421754535,-0.228004889463669,0.0526318232698135,0.0871242084695329,-0.0747949567506675,-0.0682825059644166,0.00136623548505994,0.303159521292691,-0.00227001007357867,-0.116940223134042,0.0324629312155211,-0.0619531448337248,-0.0803108952846517,-0.198613502041225,-0.288534566699124,-0.479896347982631
"DC",0.296864313102687,0.0339420543967291,0.158425415645792,0.120608104551672,0.143820345706581,0.0700669017826705,0.0669068855504568,0.204996689677895,0.0898182334339504,0.202590182785548,0.0563945692224631,-0.0366960728780527,-0.0373711650507332,0.112512462612164,0.180306617637523,0.0984735671406118,0.0291914570544657,-0.079346065967464,0.0272291763603753,-0.143325704731604,0.0161208333323347,0.0168866650040352,0.0119636663948689,0.0681543614189488,-0.0788031814251858,0.168909757294019,0.0132692544641886,-0.0591111166935693,-0.0941789578271481,-0.114720359824725,-0.184361928952349,-0.235624767020459,-0.116112826290458,0.0575241545032861
"Eosinophils",0.0186093696147094,0.0314899297091367,0.0831605199954536,0.034846080273304,0.0498823615370005,0.287702336790721,-0.00631559575215429,-0.0669550534760982,-0.0492783266511377,0.0339014360063021,0.0928320217982309,-0.00995881328710429,-0.172888004783312,0.0550171159157564,0.0147454150545531,0.0175623711854101,0.037533313958483,-0.0320181695566702,0.0945133797891989,-0.0091865456963884,-0.20306467229875,0.00827685723401751,0.182534201467517,-0.0298720936946098,0.165566996975087,0.174219215881176,-0.118071017852748,-0.0765381788342981,-0.0328895597725041,-0.0797431386855912,-0.0345278310655933,-0.00685998303947495,0.104535022333602,-0.0948930814604069
"iDC",0.2568619209711,-0.00563783276420246,0.0122113953020655,0.176079563928031,0.23722266463937,-0.12226969263943,0.0262796251185005,0.0653384190878104,0.0143099438609278,0.220236553451588,0.116335138487964,-0.0951767270341447,0.0918918918918919,0.32461900014243,0.20026704870068,0.0345204770516689,-0.186054057314245,-0.0362630355064079,-0.0390409545839912,-0.133325539047138,-0.0643746887931678,0.0634345525649874,-0.0685016356788952,0.0671339554473152,-0.251548715217698,0.163583220916394,0.0642396590224844,0.0278295899344853,-0.0423317188111948,-0.13607791312295,-0.114822665392883,-0.200232491648358,-0.0046997518924536,0.241282825026862
"Macrophages",0.0534557090432035,0.0719111321964599,0.0845371741741324,0.117306025987595,-0.151471585568692,0.134813535995111,0.0618003055102567,0.14785497872063,0.148667451386564,0.120013063944529,-0.00689734410017755,0.127629898173855,-0.191040171110511,0.0139680784462824,-0.0355607109566073,0.000218131170244959,0.0821775104694949,-0.308149092576552,0.0183637271283223,0.000271315112978806,0.236486933538176,0.0298114341414722,0.0390102807053994,0.295591839123436,0.0379599692803021,-0.0272843326151759,-0.0553168340398158,-0.165007797320659,-0.0472549678015582,-0.108705366588217,-0.0449888780495336,-0.208345303613273,0.116942551119766,-0.0772247976864411
"Macrophages M1",0.216635520840638,0.0585644260607969,0.262777610859419,0.258757988994839,-0.0627776348163088,0.0845944558011142,0.0670548923127453,0.201897066005214,0.101383653731444,0.128824333166789,-0.00442226515364468,0.178895332425283,-0.041956241956242,0.0390732564767921,0.0335866761309534,0.047714736678921,-0.0738793060614882,-0.237422484101605,-0.0287878587728323,-0.157413383472774,0.182231820038675,0.0474437757184378,0.0444534160583288,0.125470541874881,-0.0741300518797921,-0.0435283797242456,-0.040947090248118,-0.15867824136919,-0.00679123542757819,-0.0879427850884225,-0.0578218294721758,-0.210310516929881,-0.0429162609542356,0.0475880508162671
"Macrophages M2",-0.11917468152438,0.0204802904495518,-0.117342079407538,-0.106968239563138,-0.170853528184283,0.0920683136889936,-0.010491682049399,-0.109788222572561,0.000200453356761476,0.0116877454207901,-0.0175456978812108,0.0679656275012609,0.0483912483912484,-0.103693759662487,0.0140341233704403,0.0194771547770182,-0.229038188934755,-0.227123939692221,0.157143051923073,0.125646385699068,0.171003999928952,0.219853877095885,0.200952831825741,0.401756828986975,0.21805556414769,0.155385643654375,-0.0466676536325758,-0.180191895059867,-0.0373432502675991,-0.188904574104312,-0.0378210219291045,-0.151214470163382,0.128724440116845,-0.13319866082076
"Mast cells",-0.297270933388342,0.0349775747003581,-0.0888052397883356,-0.28900516874579,0.00678313022905235,0.239666080281793,0.126181250312716,0.0290084611215145,0.0253927406824858,-0.0564865076657025,0.0297050734693303,-0.0166785447410637,0.0718192935395416,0.18147375992366,-0.00235096692523048,-0.0926167704592183,0.279984537773615,-0.152207259002656,0.0259392842229568,-0.0881281371252297,0.0072612024265128,0.0572722567287785,0.0666624038372537,0.011256224153937,0.144161699449055,-0.0300231545114725,-0.113573212528962,-0.0541483639984607,0.0467075614695639,0.14388931547943,-0.117003105096648,-0.172420015331623,-0.00136319376825706,-0.525202888772734
"Monocytes",0.0910805530180723,0.251861549404881,0.17270540136013,-0.104111375384734,0.133476472977218,0.116324067818936,0.140625472686118,0.180147836828096,0.0983547202830026,-0.00432728948457271,0.11674886058648,-0.0385918251533075,-0.0530928275893174,-0.230040888279049,-0.0182065157092499,0.0295928454406084,-0.0374186930911331,-0.191587203701597,-0.0599839367654174,-0.116734649144661,0.170265934486348,-0.0171067895861994,-0.0213993890256042,0.0666136781048988,-0.0170810766804883,0.0613876769096429,-0.0602284402632858,-0.111989922084677,-0.106723272694661,0.0307192978000332,-0.132777739026142,-0.189764694772426,-0.138152329794234,-0.0225184154593464
"Neutrophils",0.0234192820518364,0.184773004364601,-0.0458863189828705,-0.0794725808605838,0.100478550733112,0.131594046879356,0.101964468827982,0.0736661001950806,0.078394417237339,0.0376111872342928,0.205113161541645,-0.0170995054874698,0.321790428368653,0.0846664749897392,-0.0691093791722474,0.0580079108459023,0.0191141143991661,0.144596235929908,0.00861407032816232,0.159020091161239,-0.00954171734689663,0.169172954859691,0.0755812096904749,-0.0983247855426564,0.19579019614935,-0.000479187237624389,0.0328732451250553,-0.0310703601700959,-0.141388899955566,-0.123335839894957,-0.0189912666631582,0.0750768251614533,0.0113307785582559,-0.0740623780967152
"pDC",0.140533755817822,-0.0601752354219976,-0.0095600486707001,0.038488561145262,-0.229554100748176,0.160367153011917,0.191778880866513,0.220163383049704,0.146180990449645,0.0737080016932722,-0.0294258204124554,0.129363662108329,-0.150202716058504,0.0832935713849022,-0.184706077124794,0.0959942355616174,-0.198735275208409,-0.208863421461651,-0.218475888161968,0.0467469324365049,0.185829989584286,0.31574240549698,0.186166393694574,0.158402976637816,0.0312431843860081,0.118638619711652,-0.0444053100601379,-0.133956540011261,0.0110563515809599,-0.137934929567636,0.217019942679723,0.128067642923784,-0.334035053627333,-0.34787219313408
