"","STAD","UCEC","BLCA","BRCA","KIRP","KIRC","KICH","COAD","PRAD","THCA","LIHC","LUAD","LUSC","HNSC"
"B-cells",0.722845901659298,0.778178478025052,-0.123898656945838,0.387756140129619,0.276312733368698,0.0467782605437536,0.134966262650979,0.377177700348432,-0.310118639277278,-0.00882619307801926,-0.0368124909164447,0.0778844320455187,-0.172369609615916,0.184128803857802
"CD4+ memory T-cells",0.529045233807602,0.562958780350085,0.464912280701754,0.286057123726531,-0.223810834044194,-0.170428966493022,-0.300869565217391,-0.00156794425087108,0.176726713907624,0.205758405364668,-0.0689075630252101,-0.248918760958504,-0.41969387755102,-0.064554776459261
"CD4+ naive T-cells",0.228569522774657,-0.117777100881278,0.377977235916375,0.000707049852871675,0.0208694645679255,0.000396459332271933,-0.22534508363439,-0.151057804983752,-0.00725538615648356,0.0354144421216884,0.0280021305572003,-3.00095400186691e-05,-0.161829155192098,-0.0651822342505872
"CD4+ T-cells",-0.202748762389435,-0.124964578669581,-0.103388388102446,-0.206009694603691,-0.109898167370795,0.229756238009673,-0.237585245969763,0.0250346104922625,-0.172493595240762,0.0515283840252386,0.0698798673071215,0.20569056120718,0.00299568744193409,-0.0978831126389267
"CD4+ Tcm",-0.154308105387961,0.604574003285704,0.557751527734781,0.0998150872574041,-0.181873727691104,0.0632812898120188,-0.186953267523948,-0.0338990056471103,-0.13030955000229,-0.0221169522286136,0.118173710773582,-0.159394863574645,0.0292542360031783,0.140537904423917
"CD4+ Tem",0.743466586811593,0.235026904339223,0.72746211435342,-0.0285610961997769,-0.0312554413375312,-0.131378194829634,-0.00974482141952888,0.0861002260384401,0.301644081338412,0.115696171571535,-0.194630193997101,0.0807883393469959,-0.130697047704978,0.0611496746650675
"CD8+ naive T-cells",-0.106785173715486,-0.185770750988142,0.734532760488124,0.420353670617635,-0.165142264199998,-0.0528342174111103,-0.318458377832623,-0.0135223712665186,0.0380354741714354,0.187917192162171,-0.190396158463385,-0.034546464067811,-0.0360805345270232,-0.323044397463002
"CD8+ T-cells",0.536679148952637,-0.295994210688046,0.617543859649123,0.424632898214573,-0.160272116357183,-0.00445688053346099,-0.0320038668232262,-0.00915539279446374,0.19940398363668,0.0965578762804147,0.0147039088284214,-0.034507271610278,-0.358752970723963,-0.212410583648929
"CD8+ Tcm",0.698642401734145,0.374788255358442,0.554385964912281,0.296871861050982,-0.249959391283477,-0.346167405616194,-0.173735277040371,0.0797073044007083,0.441832951631821,0.13224030268541,-0.158131047609748,-0.18743698770247,-0.446836734693878,-0.0966746153781417
"CD8+ Tem",-0.125238955489627,0.017104383873744,0.039580894954761,-0.172536334612344,0.051913048651245,-0.151436995187238,-0.0420622249676687,0.325614182436094,0.0832302098102521,0.0426610075029594,-0.374814742135854,-0.189440250729091,-0.0941946824813954,0.00241054624195032
"cDC",0.317018909899889,-0.355166572557877,0.0789473684210526,-0.500474142041786,-0.469574780058651,-0.687986365682681,-0.636521739130435,-0.22404181184669,0.0397848544352429,0.0369436156141376,-0.162160864345738,-0.303039158386908,-0.568367346938775,-0.414376321353066
"Class-switched memory B-cells",0.770778518034422,0.734303162660712,0.219385388678735,0.317619415181964,-0.129186515860871,-0.00442719965389837,-0.0194177045176137,0.374564459930314,0.585184072890404,-0.0125543260431382,-0.313243986342947,0.152860671397802,-0.168735605202588,0.0440616593429586
