"","UCS","THCA","LUSC","LUAD","ESCA","MESO","LGG","GBM","BRCA","PCPG","SKCMmets","KIRP","KIRC","SARC","OV","STAD","READ","COAD","UVM","THYM","HNSC","ACC","PRAD","DLBC","CHOL","LIHC","SKCMprimary","UCEC","CESC","PAAD","KICH","BLCA","TGCT"
"B-cells",0.0769335946870648,0.188328794162216,0.234329134376126,-0.033233868162863,0.18867203757871,0.0351820322011665,0.0549270329884305,-0.020255626174917,-0.0296127210859516,-0.040205056235245,-0.0994211818477217,0.012985962602155,0.0133034880876791,0.000878797749130616,-0.288791197050928,0.0778624218768662,0.176074751273071,0.0907252174601889,0.314371149728152,-0.124000313351053,0.325795472993038,-0.0385867608100864,0.00174675196087135,-0.355133670372006,-0.146094290104551,-0.161902476928241,-0.310584430213976,-0.141502020892133,-0.0583154990627713,-0.138023564055063,0.0593756487759306,-0.163971500581906,-0.763553622587589
"CD4+ memory T-cells",0.314962917392939,0.226141457973305,0.0639338693131665,-0.165174283569724,0.0433344835518749,-0.0404853107500681,-0.0311129841342543,0.0124553475187937,-0.0239289462133654,-0.0671717205790949,-0.0708432564536361,0.0344950922596949,-0.11706331559372,-0.0574970955677383,-0.273132077317892,-0.0168087546795227,0.052624193933604,-0.0405907597695609,0.195205438938472,0.11143791082686,0.113592864869613,-0.0995326654723623,-0.056110476857231,-0.113837518183017,-0.298841698841699,-0.105382085096076,-0.0917601802943799,-0.0434360610680172,-0.194971146491423,-0.239699361384176,-0.189816433566434,-0.325830808997513,-0.762720233419369
"CD4+ naive T-cells",0.0330152439124097,0.0629314757224772,0.0300321198524939,0.139095978829227,0.0143858954173932,0.122337879060613,-0.0242649896379243,-0.065614984165911,0.073934883034986,-0.0191064744145415,-0.0860698904181997,-0.00519830748986565,-0.176148072396276,-0.0734813007527365,-0.0405493500954268,-0.0850898232129886,0.136346691190179,-0.0414825974816204,-0.0824281886497926,0.118295957102822,0.095745069371523,-0.234644232471656,-0.0150310756123802,-0.205193986656967,0.0683108287757034,-0.028435436321183,-0.168206304555779,-0.0331918343819213,-0.06716000038548,-0.120517352837435,0.100883938268031,0.128411678040601,-0.665541161051982
"CD4+ T-cells",0.267126098239725,-0.0238332171939781,0.0476458604954951,-0.0383681115697941,0.221824965292378,0.168439727701061,0.0630505028398591,-0.0790588383927243,-0.0095526162531705,0.0712212193104157,5.21237652248737e-06,0.0214603037221337,-0.0459428260914913,-0.0161584520697203,-0.0422462235394458,0.0482057001618159,-0.0396869071789787,-0.0229318945199881,-0.076979133449905,0.148874815563732,0.0380979132014101,0.038641370666352,-0.0462015118842634,-0.200212239113168,-0.149102887100806,-0.017066806335484,0.0359037965109528,0.00871114860497072,0.0018317084630816,-0.0505669568315764,-0.146372635325712,-0.0813036689176884,-0.303715440680623
"CD4+ Tcm",-0.171275433815988,-0.215370982646979,0.019035520439504,0.28065580366687,0.0603232978436034,-0.00533607168819638,-0.160004412917957,-0.0311955461191982,0.0492443696123205,-0.0758492400312637,-0.0288877666438178,0.112194879131786,0.0626815811609455,-9.58925888641731e-05,-0.08629081379597,-0.00102279250162065,0.0845454449458927,0.105140043871633,-0.162242231034975,-0.143674972325366,-0.00747519810888642,0.229147608977479,0.0471400065075734,0.033663700315438,0.167839064177769,-0.0713479610242474,0.0068510697880749,0.108925750148836,-0.0952308009383512,-0.050886712423651,0.296711669748881,0.202369902636518,0.0531106058147904
"CD4+ Tem",0.0170797301642183,0.225959340521643,0.179672360830915,0.380923874829361,0.330409620263278,-0.0552445743028306,0.019539146684414,0.00105305854939648,0.0448008502264135,-0.0268107200265762,-0.0321863511829669,0.00373412413478268,-0.107157200449298,0.0671427135661984,0.0736602034621533,0.211566997606625,0.0490331594094296,0.12239131409082,0.0137211394410002,0.215210246869835,-0.049162934274855,-0.0761376530690435,0.101000578474561,0.0353205516887721,-0.00952994402333373,0.125417424024239,0.0285411935073811,0.170011502063874,0.110182787024981,0.407633124895512,0.294988785044019,0.169000773381193,-0.344887771990569
"CD8+ naive T-cells",-0.455005297515294,-0.244121128136469,-0.166356270575194,-0.280918066524989,-0.290102169201403,0.136662207995767,-0.0367248039090389,-0.00862467888237742,-0.0754039744167312,0.105269119748029,-0.0139559237284242,0.121655138549071,-0.175857068238666,-0.0119266436361776,-0.0829245349838978,-0.185010464269781,-0.162431586278316,-0.116406661556646,0.0855219846475274,0.0604476602184551,-0.277577215746042,0.307422003858651,-0.114774684972035,0.117283824596054,0.000522247062793367,-0.0916142873034798,-0.290968912326718,-0.296927402915085,-0.24610957194107,-0.278151126046263,0.279464586531696,-0.246648377671946,-0.538523595710584
"CD8+ T-cells",0.109333763052258,-0.0749505102206638,0.0732283121055869,-0.0172405497397178,-0.0241843517505301,0.0837973207662952,-0.0853352755633285,-0.111487467161403,-0.0146287691608475,-0.15166602894967,-0.0482075272127004,0.0136527102251713,-0.175342934652564,-0.094115232767551,-0.0392300771765839,-0.177938683288647,-0.148112339169029,-0.0821440590999028,-0.0209618656756068,0.121251397605963,-0.039201775799548,0.00200159068455135,-0.120653675380951,-0.133421291133291,0.0990078324689747,-0.116426850678607,-0.22116322171085,-0.0524622565643747,-0.157519440427234,-0.29911096516281,0.157533509167648,-0.0271587389246111,-0.677455242114812
"CD8+ Tcm",0.276922788838504,0.0521823356257379,0.173989267874682,-0.0911191551989772,0.0575024498621831,0.0675403956877008,-0.0123052091830372,-0.012011065722568,0.0199903615414079,-0.0582812385746511,-0.0721074049761634,0.0144677536726481,-0.136358168625555,-0.096988259326879,-0.202543678202355,-0.0317805750204365,-0.0699968796386416,-0.126469511542439,0.168749698306488,0.0464253413011438,0.155508148934426,0.0522225259144415,-0.0435076092369315,-0.0949101845495119,-0.155258054920311,-0.00416058210205974,-0.303018538704741,-0.0443747473219931,-0.126289443904164,-0.23423624636965,0.0347046250967695,-0.300422941502747,-0.637254570826236
"CD8+ Tem",0.145699528675591,-0.0212356574997613,0.00640592784111211,-0.129755658912191,-0.111520991583728,0.0450984660286145,0.045150414244735,0.0302648228246403,0.049962382574215,0.0534049073238057,-0.0280968958131159,-0.0461087182795758,-0.0936683707786541,-0.143860957642152,0.0238776643313829,-0.0400181027701413,0.103643562794919,-0.0348826019017928,0.0650080430808965,-0.0369379015972296,-0.0640330781088147,0.154107313665288,-0.0398571521782633,-0.148683505248169,-0.227655386283518,-0.0796561509568691,-0.199095750564216,-0.154236200150606,-0.147342372848155,0.0103474960467326,-0.0689142948705935,-0.292079452334678,-0.453345373989897
