"","UCS","THCA","LUSC","LUAD","ESCA","MESO","LGG","GBM","BRCA","PCPG","SKCMmets","KIRP","KIRC","SARC","OV","STAD","READ","COAD","UVM","THYM","HNSC","ACC","PRAD","DLBC","CHOL","LIHC","SKCMprimary","UCEC","CESC","PAAD","KICH","BLCA","TGCT"
"aDC",0.31142022253731,0.267068469564167,0.18977442665524,0.0663594467573991,-0.0806927240986179,0.232729080829735,0.149585978310557,0.11876926297146,0.06066584640195,0.0935838608980868,-0.0623471842666052,-0.0532303576102318,-0.103234267036339,-0.0235440451564435,-0.211884959229908,-0.0620726858664867,-0.107373748862497,-0.0878008752392002,0.0291881444356516,-0.0440111380949637,0.108928111611294,-0.26792177094279,-0.157192828668271,0.0362135689750875,-0.0540540540540541,0.0261006366570238,-0.209827459348632,-0.12692364464443,-0.180811814450497,-0.195495205976647,-0.282307946172547,-0.303806550877584,-0.600608486390105
"Basophils",0.0737892614238354,0.0187036603963978,-0.0542615234352198,-0.341406806534063,-0.186186333726898,0.148481509193869,-0.0186187916642334,0.0880564423747086,-0.0372683186935798,0.0984918940854014,0.00249453962911133,-0.086115580669076,0.0457203509462761,0.0193917983616736,0.0448937405564901,-0.0300695376802928,0.0234715839475389,-0.0533547574730087,-0.116660662923521,-0.226657361189063,0.317562725784402,0.154294257874135,0.204101000743103,0.0699107872358941,0.0818532818532819,-0.165645838769359,-0.189069261874361,0.243117823229054,-0.0632085439866595,-0.142296292653942,-0.102408322139868,-0.428836711129422,-0.658432580589813
"DC",0.367414732235092,0.391079637217981,0.372285441419917,0.248674011328353,-0.071992638234165,0.282809645638702,0.0570103003914274,-0.0232980369670168,0.0909610610928265,0.0226473936310716,-0.0614962892138965,0.0558231506701508,-0.0157135995887118,-0.118156974230736,-0.195010762426406,-0.045609482763977,-0.0551637761989971,-0.146700557851508,0.0339159531159509,-0.00273467265832784,0.0778623970794146,-0.0727864483569651,-0.277329743563006,-0.0238506285092722,-0.0404639511238973,0.00618460423680803,-0.0824485245893601,0.120065816232933,0.0182273688402228,-0.116948800462271,-0.0793572774914343,-0.178253409778843,-0.255170625636185
"Eosinophils",0.187344118143147,0.0141287260949203,0.253426782334012,0.274345988610613,0.25557818511175,0.207680528503195,0.0492456946867712,0.0583415627213886,0.0568533260373293,-0.0313894124425334,-0.0700458248994061,0.112256543575302,-0.0293415851014131,0.144777209387764,0.0618975812494952,0.0945358791697611,0.149628681513827,0.056456204635567,0.175849886458615,-0.122689388077243,0.103815414833572,-0.0446189349281548,-0.143307500108891,0.0189716766141706,-0.0941842855252956,0.0262788098109373,-0.00971244847613075,0.11669815420614,0.196228353978456,0.242612759596911,0.0282219522292528,0.342959030348733,-0.118113585514324
"iDC",0.326013773351997,0.409716000819759,0.301058090989336,0.156102123801364,-0.0289021164021164,0.242853990300738,0.0278910228595339,-0.0316582393617575,0.0979280477880446,0.0633085432211973,-0.0391184023986588,0.0105991464017458,0.0125888003736264,-0.103952779025467,-0.0671488549930374,-0.0366753523449818,0.0014658466682589,-0.235606853720511,-0.0349316027542986,-0.149146483029583,-0.0162853515191396,-0.12799000600338,-0.330418887846732,-0.144963682453145,-0.041956241956242,-0.0596749869429712,0.0939034167720911,0.113701811583156,0.157268573675303,0.027241564377348,0.0312062937062937,-0.0856517336177835,0.0294093442561628
"Macrophages",0.335604108604242,0.19224632927929,0.244153680563754,-0.0710535604151067,0.0336918124175123,0.0311816732855188,0.139692530700498,-0.0622409516885527,-0.0642746640233893,-0.00439095247296535,-0.0857037754893085,-0.00105820677279965,-0.00546752133995786,0.0160221566631478,-0.169784825646072,0.0793057420571159,-0.100756932428716,-0.171895083961046,0.00366473286670746,-0.0997388259877554,-0.1442038457754,-0.32066180436375,0.03420893449858,0.0980282713041645,-0.187435639580124,0.0422587249909365,-0.230563091028831,-0.145029323551575,-0.278956943469123,-0.125105230020114,-0.352097902097902,-0.3898519789072,-0.294341040747043
"Macrophages M1",0.274240404661813,0.14276444947543,0.242515562905561,-0.221522619938233,0.0599380605536771,0.0959087003663743,0.151492622386481,0.0539633477026276,0.0272852695817791,0.0278771593945397,-0.111112014766396,0.0139709782163768,-0.0741196151432616,0.0108724613132393,-0.135897772498413,0.0596933077907811,-0.0880045378552663,-0.172999659941957,-0.0294111409874793,-0.0949893580835765,-0.117814388422034,-0.333446282490942,-0.02864749854931,0.151965701832014,-0.068983268983269,0.0669356191232505,-0.17726204353377,-0.16772171100795,-0.261006551101102,-0.0603629611675698,-0.346022727272727,-0.32465326680408,-0.11892998704699
"Macrophages M2",0.240481465201781,-0.114851554366337,0.240410877633074,0.22127540377403,0.366263457597437,-0.121322993207937,-0.0580727218152691,-0.096843181893135,-0.0804111962857417,0.0109778479806402,-0.0417487025243964,-0.0699385923666454,0.101541009984622,-0.167012056929624,-0.156645443206391,0.27451407061715,-0.0406871555770316,-0.0618543334488236,-0.0751017713554085,-0.0606561353182095,-0.180343869904711,-0.418399562973222,0.0778529073677114,-0.0288833299378342,0.101158301158301,0.0887426945248004,-0.201930786055166,-0.0398614542507747,-0.152963658583661,-0.240493152819376,-0.172552447552448,-0.181600310053393,-0.314384223853101
"Mast cells",0.00879610710180815,0.116785133054647,0.139659535729377,0.266140951024715,0.0622642051989878,-0.0778312718272864,0.021432350170234,-0.0478342820479916,-0.144582715212204,-0.187854362919385,-0.136062012046562,0.0659820599688943,-0.0389897896861216,-0.144244497807066,-0.136339623749009,0.114317664500723,0.159121593513889,0.0457811976754275,0.186591607718489,-0.0111203097878472,-0.0504463291529084,-0.197727617339363,0.23841756472748,-0.222915851319459,-0.279425961065134,-0.195589545190211,-0.070476985430001,0.0422173397287658,-0.107409995926203,-0.167476802730426,-0.0440122377622378,-0.181942111444401,-0.737569275302459
"Monocytes",0.0304292859664806,0.257550216440856,0.323873727837132,-0.000136358522972304,-0.187086912051942,0.041998073412378,0.0684227962230832,0.0281785988378504,-0.0089511612461446,-0.0487945476673619,-0.191465949112249,-0.0572423250875132,-0.0979678637868994,-0.000622523920873279,-0.174545114953557,3.05473889554595e-05,-0.100225151044197,-0.0904326121253907,0.033749880445767,0.0504661710785182,-0.259899323577527,-0.0207546212957731,-0.0977357487677775,-0.0715518855278165,-0.0587629353901183,-0.00648793682980248,-0.0779852962727239,-0.0226172949379,-0.132834954115966,-0.17429175893874,-0.116142101181862,-0.337596834456965,-0.27852651328772
