"","UCS","THCA","LUSC","LUAD","ESCA","MESO","LGG","GBM","BRCA","PCPG","SKCMmets","KIRP","KIRC","SARC","OV","STAD","READ","COAD","UVM","THYM","HNSC","ACC","PRAD","DLBC","CHOL","LIHC","SKCMprimary","UCEC","CESC","PAAD","KICH","BLCA","TGCT"
"Adipocytes",0.491905870489869,-0.146559257549287,0.27510007242005,0.245966015207684,-0.0333532221607755,-0.0661070925842874,0.116907715433735,0.132140113480211,0.144943235826395,-0.108112175342623,0.0655032764146551,0.0772435975507486,0.230157730710988,-0.0899701860169957,-0.0248258859657909,-0.111893637334179,-0.017728051553548,-0.159281060465011,-0.0716741705749814,0.030022005377028,0.0768085543782389,-0.171186497184309,-0.165030511647829,0.132219400118003,0.272072072072072,0.198964131770087,0.0503549606741452,-0.162878441279332,0.0877629858755791,-0.220081632047413,-0.0714816767894661,0.0623834554511644,0.403758613837999
"Chondrocytes",-0.2160484721051,0.150669608109772,0.111258780884265,0.292524896280747,-0.0723117361828688,0.0770512769702664,0.17009143571219,0.127878037884225,0.181938856626623,0.0393265293347466,0.0430775107028223,0.0494950451112823,-0.0162958323785548,0.022617901335488,-0.12410179968631,-0.226072587004253,-0.116352191379827,-0.0780673569164849,0.162587948703193,0.0419421905984515,0.103928760852607,-0.113027729796526,-0.410699781169283,-0.244026152815128,-0.156183216517283,-0.0103294319628844,0.230984867844538,-0.148885897881241,0.0332348719217651,-0.281524140439781,-0.0698712921765452,0.0650917951222211,0.360905704540089
"Endothelial cells",0.0692424682682825,-0.430138258171941,0.343289647571529,0.13819363311932,0.402970794603309,-0.0603211266105548,0.00228226461878921,-0.156358539370798,0.0933940350599236,0.10780789031807,0.0315528586080832,-0.121652143435755,-0.187278965186672,0.00833775039285134,-0.0712061501839317,-0.0397226330941353,-0.0352549558156198,-0.0852041478344093,-0.143838236120318,0.0548287624907971,-0.132351490206674,-0.254453447440148,-0.0785207513149737,0.205903132359863,0.0725915440077087,0.0892202297850105,0.101969141070608,0.0185490968159528,-0.0775373735689865,-0.365514793718945,0.0190996503496503,0.118160694976333,0.615197196972531
"Fibroblasts",0.0314086023388705,0.0419858268348913,0.165285940547349,0.277977291269237,0.110599999658332,0.0634128207173967,0.0180125169499899,0.14995441241833,0.0918576804755482,0.0333047152791368,0.0297855435086617,-0.0116594081746533,0.0284722398149891,-0.310260753924723,-0.153069892678317,-0.286234318758031,-0.18413267368801,-0.196391128469956,0.138532127218303,0.127373479836204,0.0726572408795502,-0.0790435392083335,-0.0481503890530815,0.0224077202491538,-0.108950441131626,0.181353360940728,-0.0381880614392248,-0.0764073793324109,-0.0109208975713945,-0.290465332359334,0.0281436523592834,-0.0182568956730344,0.431431888008924
"Lymphatic endothelial cells",0.141388009484706,-0.390525847942144,0.379126644049305,0.149740059924633,0.338219419067673,-0.0486437240060227,-0.061027456613576,-0.156397842610202,0.0835588477446577,0.0960311757698499,-0.0477144644488267,-0.090834994672979,-0.153628470524983,0.0305479498401946,-0.0438624911174432,-0.0648060271000128,-0.191384916849385,-0.199393520929096,-0.113511269507634,-0.0441891766794903,0.0193582533324249,-0.275856865125936,-0.0471443117608,0.195858991945612,0.127314094120878,0.139129537719002,0.0151060271100628,0.0222316849578125,-0.00502627567126101,-0.319585403421799,0.00305944055944056,0.214033224252131,0.434835845833489
"Mesenchymal stem cells",0.006493617458526,-0.0424857871403637,-0.0365633036715414,-0.183774133352031,-0.613650218541523,-0.0114213042234405,-0.130636988767165,-0.0116235058448106,-0.082653884474385,-0.030183041311408,-0.0850312923722644,-0.143971864211969,0.0802423589882274,0.190358182257459,-0.0986765365270382,-0.0365167706224333,-0.283804036302842,-0.235853130414594,-0.130447336983604,-0.0987401989784259,-0.467639598925406,0.258686718343191,0.0893469433792014,0.068980831537138,-0.0344916344916345,0.0517548415296437,-0.06836827712354,-0.0149972527222855,-0.285233331614116,0.0877711604715985,-0.143618881118881,-0.195898680495826,-0.506223269616828
"Microvascular endothelial cells",-0.0246757463423988,-0.429523771083924,0.345003888637068,0.0904816751890462,0.250011502185415,-0.023296435104766,0.0505102064823278,-0.129751955130324,0.0724203191278819,0.0940607466191535,0.0125784888619442,-0.0990494476126175,-0.150573463087845,-0.0184515316114783,-0.0671876605008108,-0.05066111025364,-0.0937813470265106,-0.0969159923728121,-0.186638590371824,-0.0977645475352204,-0.146390706021188,-0.252556942075584,-0.137508953977545,0.142283221909672,0.0404118404118404,0.0358575186092819,0.0756281524340394,-0.0593470021020851,-0.205035730383369,-0.349037412787175,-0.0192307692307692,0.127512759200325,0.261521964114266
"Myocytes",-0.512893248421577,-0.101681005745476,-0.0767453135324377,0.343440822380214,-0.247479280141724,-0.101912448861312,-0.0194269030504112,0.0816576703579131,-0.0691120832644344,0.0624880318583021,0.12532080560995,0.160796797388817,0.026058791525931,-0.0667545037630201,0.0606891768606909,-0.204772151726397,-0.225631655237176,-0.193429073762827,0.19202059382057,0.131254502303384,-0.268321617980257,0.356661540123233,0.0276870843990814,-0.111657999265111,0.0967160535341031,0.0886517614147567,0.147272496674806,-0.168478264823115,-0.0286854711015714,0.127187171534997,0.0820157562959394,0.144690429604595,0.378600620830516
"Osteoblast",-0.0491144501599015,-0.36646635062909,-0.133533210368673,0.0417848107383717,0.193658985311711,0.0499802530549261,0.140250101976135,0.0748703542671177,-0.163224909453726,0.0149311082280094,-0.0137967094565799,0.0570353298508882,0.0707406344521285,-0.0258092148553158,0.145785344685576,0.022725317105787,0.115906644149495,0.13121262638272,0.185839885265135,0.173255690823339,0.0372970508897595,0.0465069971687019,0.328334656451123,0.114511444745056,0.114421777700094,-0.166796945090396,-0.184448105436573,0.117102351474811,0.0792756571826205,-0.0758883817364069,0.441652097902098,0.231538175216645,0.1345730128259
"Pericytes",-0.0153427603248705,-0.242173865403272,0.0860401126654855,0.0820294428012857,0.21630502434775,-0.000478642976593341,0.241150057588295,-0.13300969602489,0.100260624113734,-0.0213516324260287,-0.0393107054818923,0.000134325340124987,-0.15144931651069,0.11959409277562,-0.0416609100383786,-0.0645436879021297,-0.0774936593586891,-0.140866433282814,0.0766909372717071,0.00686912453312399,0.0532161376423488,0.0345540637080069,-0.131104947247273,-0.0600034544053175,-0.222680597267817,0.208010698894784,0.0237727972847203,-0.0279643357061219,0.132168169529266,-0.181354565919546,-0.0935460407024881,0.0764730045026218,0.511555022731704
