"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"Gordoniaceae|Gordonia",0.16140350877193,-0.131519407303505,0.305400696864112,-0.175193798449612,-0.0165217391304348,0.140845070422535,0.190982404692082,0.0693877551020408,-0.0708942139099942,-0.00901942645698427,-0.168018441048408,0.158620689655172,-0.00895136731366699,-0.0502540937323546
"Glycomycetaceae|Stackebrandtia",-0.280701754385965,0.105940874797131,0.242160278745645,-0.0603241719520789,-0.181739130434783,0.248247475721911,0.241935483870968,-0.153805522208884,0.153068381063705,-0.00196577243293247,-0.225134465977973,-0.537708565072302,-0.196161063090221,0.194805194805195
"Intrasporangiaceae|Terrabacter",0.087719298245614,0.638240534032213,0.314459930313589,0.222692036645525,-0.352173913043478,-0.0217055759212811,-0.382697947214076,-0.112989195678271,-0.0467562828755114,-0.0419750231267345,-0.405959190642875,0.700111234705228,0.156233658371528,0.118012422360248
"Intrasporangiaceae|Tetrasphaera",0.407017543859649,0.407285101499052,0.465331010452962,0.421282593375617,0.08,0.414753360344717,-0.111070381231672,-0.192605042016807,0.0499123319696084,-0.0632516188714154,-0.0897293605395714,-0.532369299221357,-0.140422652188625,0.780914737436477
"Microbacteriaceae|Plantibacter",-0.131578947368421,0.0324244291739335,0.322473867595819,0.123467230443975,-0.24695652173913,-0.192809826998521,-0.336510263929619,0.124321728691477,-0.0364699006428989,-0.0358464384828862,-0.341586271663963,0.44293659621802,0.0109200529084254,0.108977978543196
"Micrococcaceae|Paenarthrobacter",0.00526315789473684,0.155866842960791,-0.0513937282229965,0.216349541930937,-0.158260869565217,-0.33384783587369,-0.340542521994135,0.0770708283313325,0.174108708357686,-0.204787234042553,-0.0204046785622812,-0.359288097886541,-0.071334092097573,0.075098814229249
"Promicromonosporaceae|Cellulosimicrobium",0.757894736842105,-0.222645528801822,-0.279442508710801,-0.036645525017618,0.309565217391304,0.0522863206637083,-0.063782991202346,0.00369747899159664,-0.102688486265342,0.105920444033303,-0.119439938529839,-0.0736373748609566,-0.249807745547387,0.235460191981931
"Micromonosporaceae|Salinispora",0.456140350877193,0.128108936302655,0.332229965156794,0.00690627202255109,0.493043478260869,0.114798379316998,-0.00513196480938416,0.136902761104442,-0.174634716540035,0.0779370952821462,-0.182190728250662,-0.422914349276974,0.0931741979144237,0.141727837380011
"Pseudonocardiaceae|Alloactinosynnema",0.0543859649122807,0.0778003299291431,0.0468641114982578,-0.194503171247357,-0.028695652173913,0.123416296867966,0.0681818181818182,-0.161200480192077,0.0624780829924021,-0.178191489361702,-0.220182702979595,0.61245828698554,0.0414962010520164,0.154150197628458
"Pseudonocardiaceae|Kutzneria",-0.208771929824561,-0.214793127277914,-0.393379790940767,-0.0866807610993658,0.217391304347826,0.147951636761207,0.222507331378299,0.120768307322929,0.0102279368790181,-0.0740055504162812,0.562451976436438,-0.0803114571746385,-0.0110430957580978,-0.401468097120271
"Streptomycetaceae|Kitasatospora",0.640350877192983,-0.0110216440881123,0.41411149825784,-0.183086680761099,0.197391304347826,0.179979419898386,0.180351906158358,0.295270108043217,-0.194038573933372,0.0911193339500462,-0.135490480662512,-0.358843159065628,-0.0194100095358209,0.151891586674195
"Nocardiopsaceae|Nocardiopsis",0.657894736842105,0.0834151297476154,0.281533101045296,0.0577871740662438,0.664347826086956,0.122741012283748,0.163489736070381,0.292004801920768,-0.0348918760958504,0.0743524514338575,-0.180824724664902,0.0545050055617353,0.200529084253591,0.394692264257482
"Fimbriimonadaceae|Fimbriimonas",-0.273684210526316,-0.0430551168302411,0.0104529616724739,-0.297815362931642,-0.105217391304348,-0.137950993633031,0.0392228739002933,0.109051620648259,0.137755698421975,-0.518617021276596,-0.248441902159993,-0.450055617352614,-0.0381740441108616,-0.121400338791643
"Bacteroidaceae|Bacteroides",0.494736842105263,-0.51584621621147,0.395470383275261,0.125158562367865,0.18695652173913,-0.0467554183548781,0.11033724340176,0.210948379351741,0.0292226767971946,-0.103607770582794,-0.389481772389652,0.0776418242491657,-0.0622904426466517,0.613777526821005
"Porphyromonadaceae|Sanguibacteroides",0.550877192982456,0.429028933684958,0.26219512195122,0.220577871740662,0.274782608695652,0.0892018779342723,0.166422287390029,-0.152941176470588,0.0401519579193454,0.118177613320999,-0.0986937590711176,-0.456729699666296,-0.0418653296010336,0.714285714285714
"Saprospiraceae|Lewinella",0.152631578947368,-0.0331980238155897,-0.182404181184669,0.0202959830866808,0.136521739130435,-0.287413981606534,-0.353372434017595,0.0402881152460984,0.117007597895967,0.104417206290472,-0.110731665670622,-0.0451612903225806,-0.069488449352487,0.405985319028797
"Hymenobacteraceae|Rufibacter",-0.0456140350877193,-0.0107388245417004,0.0174216027874564,-0.113037350246653,-0.311304347826087,-0.171972474114091,-0.450879765395894,0.0848499399759904,0.157685563997662,0.00346901017576318,-0.218645948945616,-0.243159065628476,0.0750253775877449,-0.164313946922643
"Flavobacteriaceae|Capnocytophaga",0.250877192982456,0.433795274864195,-0.200696864111498,-0.145877378435518,0.370434782608696,0.521962827191459,0.156158357771261,0.0525810324129652,-0.152951490356517,0.215309898242368,-0.0570306497054555,0.270745272525028,0.141406994986004,0.322416713721062
"Flavobacteriaceae|Gelidibacter",-0.263157894736842,-0.204087575624027,-0.174738675958188,0.19154334038055,-0.0243478260869565,-0.228857161232234,0.0681818181818182,0.114813925570228,-0.0606078316773817,-0.290587419056429,-0.306838555451208,0.515016685205784,0.00298378910455566,-0.0242800677583286
"Flavobacteriaceae|Ornithobacterium",-0.335087719298246,-0.391172705575525,-0.246515679442509,0.207329105003524,0.32,0.415910991060518,0.160557184750733,-0.242833133253301,0.0593804792518995,0.0778214616096207,0.406556817211645,-0.739265850945495,-0.249992309821895,-0.107848673066064
"Rhodothermaceae|Salisaeta",-0.521052631578947,-0.143081735818581,0.11184668989547,-0.0449612403100775,-0.121739130434783,-0.266158595408065,-0.0120967741935484,-0.207202881152461,0.178375219170076,-0.100138760407031,-0.310595065312046,-0.624471635150167,-0.134455073979513,-0.110107284020327
"Chlamydiaceae|Chlamydia",0.396491228070175,-0.523141296864507,0.489024390243903,-0.229598308668076,-0.031304347826087,0.00996848671940318,-0.0839442815249267,0.262713085234094,-0.0362945645821157,0.0869565217391304,-0.452488687782805,0.288542825361513,-0.0654895567381341,0.207227555053642
"Chroococcales|Cyanothece",0.143859649122807,-0.120148397893354,0.10609756097561,-0.183650458069063,0.281739130434783,0.514984886487877,0.110703812316716,-0.0994477791116447,0.094447691408533,0.195305272895467,0.680440536156407,-0.120800889877642,-0.0436494509212833,0.105590062111801
"Thermaceae|Meiothermus",0.36140350877193,0.0368247685872251,0.310975609756098,-0.0459478505990134,0.0878260869565217,0.172068943340408,0.185850439882698,0.190396158463385,-0.274868497954413,0.190217391304348,-0.277554853581491,-0.521690767519466,0.123381217508998,-0.138339920948617
"Bacillaceae|Fictibacillus",-0.250877192982456,0.02569498761372,-0.111498257839721,-0.109372797744891,-0.02,-0.208051964756576,-0.364369501466276,-0.0117647058823529,-0.0253652834599649,-0.0579324699352451,0.180995475113122,0.224026696329255,-0.0784090559537359,-0.0412196499153021
"Planococcaceae|Kurthia",0.00350877192982456,0.2906802661578,-0.0125435540069686,0.0439746300211416,-0.0739130434782609,0.278249405106438,0.0175953079178886,0.158511404561825,0.0740502630040912,0.068686401480111,0.221377956117135,-0.385984427141268,-0.0923128979667169,0.777526821005082
"Sporolactobacillaceae|Sporolactobacillus",-0.617543859649123,-0.0353441250795391,-0.189372822299652,0.11430584918957,-0.32,-0.187085986237057,0.11950146627566,0.00148859543817527,0.0021624780829924,-0.531799259944496,-0.00546401434303765,-0.288097886540601,-0.123258174659325,0.214003387916431
"Bacillales|Acidibacillus",-0.0298245614035088,0.453725734664283,-0.0844947735191638,0.299647639182523,0.0739130434782609,0.221654125667246,-0.135263929618768,-0.0201200480192077,0.155055523085915,0.162118408880666,0.322035345342781,-0.745050055617353,0.0606293641760743,0.338226990400903
"Lactobacillaceae|Pediococcus",0.224561403508772,-0.115199055831145,0.349477351916376,-0.0703312191684285,0.136521739130435,0.0115763071580166,0.108137829912023,-0.292773109243697,-0.12104032729398,0.0082099907493062,-0.111329292239392,0.471857619577308,0.0267310590913286,0.0299265951439864
"Lachnospiraceae|Lachnoclostridium",0.617543859649123,-0.0316841074200904,0.228222996515679,0.210570824524313,-0.291304347826087,-0.12589234034343,-0.0381231671554252,-0.0841776710684274,-0.0421390999415547,-0.0847594819611471,0.160163920430291,0.696551724137931,0.0581685071826264,0.183512140033879
"Peptostreptococcaceae|Clostridioides",0.743859649122807,-0.0153304830599177,-0.263240418118467,-0.0124031007751938,0.180869565217391,-0.212843269663644,-0.122434017595308,0.31140456182473,0.139041496201052,-0.0418593894542091,-0.399129172714078,-0.676084538375973,-0.00882832446399459,0.384528514963298
"Ruminococcaceae|Ruminiclostridium",0.236842105263158,0.196260128765979,-0.117421602787456,0.0493305144467935,-0.103478260869565,0.0316097498231398,-0.109970674486804,0.275870348139256,0.126592635885447,0.271392229417206,-0.0910099889012209,0.65027808676307,0.155803008397674,-0.323546019198193
